





















0SD.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
13-06-2022 19:01:58 , Error: Error de sintaxis. Linea : REPORT FORM rindeflete_cr PREVIEW Error :         10 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000G8W902O9
16-06-2022 16:46:51 , Error: No se encuentra la variable 'CAECHECK'. Linea : replace caecheck WITH this.oFacCAE.p_codbarra, codbarra WITH  this.oFacCAE.p_filecodbarra IN CsrAuxCabefac Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:  
























































































































        1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000JITL05O2.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
16-06-2022 16:54:50 , Error: No se encuentra la variable 'BARRACHECK'. Linea : replace barraCheck WITH this.oFacCAE.p_codbarra, codbarra WITH  this.oFacCAE.p_filecodbarra IN CsrAuxCabefac Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registr























































































































o:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000JITL05ZB.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
16-06-2022 17:03:40 , Verificando OCX
16-06-2022 17:03:42 , Acceso al sistema, antes de autenticar
16-06-2022 17:03:42 , Obteniendo conexion a servidor
16-06-2022 17:03:44 , Conectado..miguel\sql2019
16-06-2022 17:04:04 , Datos de la empresa
16-06-2022 17:08:16 , Error: No se encuentra el alias 'CSRCOMPROBANTE'. Linea : SELECT Csrcomprobante Error :         13 Ultimo Alias Activo: CSRPREFITERMI Ultimo registro:         31  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000JITL06GP.TMP Ultimo Contro




















































































































l activo:  REGFACRTO.INIT
16-06-2022 17:53:58 , Verificando OCX
16-06-2022 17:53:58 , Acceso al sistema, antes de autenticar
16-06-2022 17:53:58 , Obteniendo conexion a servidor
16-06-2022 17:54:00 , Conectado..miguel\sql2019
16-06-2022 17:54:00 , Datos de la empresa
16-06-2022 17:54:26 , Verificando OCX
16-06-2022 17:54:26 , Acceso al sistema, antes de autenticar
16-06-2022 17:54:26 , Obteniendo conexion a servidor
16-06-2022 17:54:29 , Conectado..181.224.113.20\sql2019,1170
16-06-2022 17:54:31 , Datos de la empresa
16-06-2022 17:54:43 , Error: Error al cargar el archivo - número de registro 7. lisvtoctacte  <o uno de sus miembros>.  Parent : Error al cargar el archivo - número de registro 61. Imprimir_vistaprevia1  <o uno de sus miembros>.  Parent : La clase imprim
















































































































ir_vistaprevia está en uso por Linea :  Error :       2005 Ultimo Alias Activo: CSRSETEO Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000HR0P001Q.TMP Ultimo Control activo:  ON... 
16-06-2022 17:55:02 , Verificando OCX
16-06-2022 17:55:03 , Acceso al sistema, antes de autenticar
16-06-2022 17:55:03 , Obteniendo conexion a servidor
16-06-2022 17:55:04 , Conectado..181.224.113.20\sql2019,1170
16-06-2022 17:55:06 , Datos de la empresa
16-06-2022 17:56:41 , Error: No se encuentra la variable 'CRUTAINFORME'. Linea : this.Parent.reportform(cRutaInforme,7,lcfilename,loRPTListener,This.Parent.CopiasReport) Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 CNOM














































































































BRE+DTOS(CTOD(VENCIMIEN)) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000HR0P004D.TMP Ultimo Control activo:  LISVTOCTACTE.IMPRIMIR_VISTAPREVIA1.EMAIL.CLICK
16-06-2022 18:05:49 , Verificando OCX
16-06-2022 18:05:50 , Acceso al sistema, antes de autenticar
16-06-2022 18:05:50 , Obteniendo conexion a servidor
16-06-2022 18:05:51 , Conectado..181.224.113.20\sql2019,1170
16-06-2022 18:05:52 , Datos de la empresa
16-06-2022 18:12:24 , Error: Error al cargar el archivo - número de registro 7. lisvtoctacte  <o uno de sus miembros>.  Parent : Error al cargar el archivo - número de registro 61. Imprimir_vistaprevia1  <o uno de sus miembros>.  Parent : La clase imprim











































































































ir_vistaprevia está en uso por Linea : IF lldesarrollo AND llchekform Error :       2005 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  ON... 
16-06-2022 18:23:29 , Error: Incompatibilidad entre el tipo de operador y el tipo de operando. Linea : IF cTipo='PDF' Error :        107 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:         86 CNOMBRE+DTOS(CTOD(VENCIMIEN)) DBF: C:\USERS\MARCO\APPDAT










































































































A\LOCAL\TEMP\0000HR0P00QM.TMP Ultimo Control activo:  LISVTOCTACTE.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
16-06-2022 19:23:00 , Verificando OCX
16-06-2022 19:23:01 , Acceso al sistema, antes de autenticar
16-06-2022 19:23:01 , Obteniendo conexion a servidor
16-06-2022 19:23:16 , Conectado..181.224.113.20\sql2019,1170
16-06-2022 19:23:17 , Datos de la empresa
21-06-2022 16:27:57 , Verificando OCX
21-06-2022 16:27:58 , Acceso al sistema, antes de autenticar
21-06-2022 16:27:58 , Obteniendo conexion a servidor
21-06-2022 16:27:59 , Conectado..181.224.113.20\sql2019,1170
21-06-2022 16:28:00 , Datos de la empresa
21-06-2022 18:51:28 , Verificando OCX
21-06-2022 18:51:32 , Acceso al sistema, antes de autenticar
21-06-2022 18:51:32 , Obteniendo conexion a servidor
21-06-2022 18:51:44 , Conectado..181.224.113.20\sql2019,1170
21-06-2022 18:51:46 , Datos de la empresa
22-06-2022 11:11:04 , Error: Debe especificar parámetros adicionales. Linea : INSERT INTO CsrImpCue VALUES ('AA',CsrCursor.fecha, lcNroComp, CsrCursor.cnombre_rte, CsrCursor.cnombre_dest ,nEntregado, no_contado, no_ctacte, nd_contado, nd_ctacte, nCR, Csr



































































































Cursor.Ajuste,'',i,CsrCursor.Ajuste_cReemb) Error :         94 Ultimo Alias Activo: CSRCURSOR Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000H2BT01KO.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
22-06-2022 14:22:15 , Verificando OCX
22-06-2022 14:22:25 , Acceso al sistema, antes de autenticar
22-06-2022 14:22:33 , Obteniendo conexion a servidor
22-06-2022 14:22:45 , Conectado..181.224.113.20\sql2019,1170
22-06-2022 14:22:47 , Datos de la empresa
22-06-2022 14:44:28 , Verificando OCX
22-06-2022 14:44:34 , Acceso al sistema, antes de autenticar
22-06-2022 14:44:35 , Obteniendo conexion a servidor
22-06-2022 14:44:37 , Conectado..181.224.113.20\sql2019,1170
22-06-2022 14:44:39 , Datos de la empresa
22-06-2022 15:03:24 , Error: No se encuentra la variable 'COMIBULTOS'. Linea : nComiBultos = red(nBultos * CsrCursor.comibultos,2) Error :         12 Ultimo Alias Activo: CSRCURSOR Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000L































































































ZIH01S2.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
22-06-2022 15:05:20 , Error: No se encuentra la variable 'COMIBULTO'. Linea : REPORT FORM rindeflete_v3 PREVIEW Error :         12 Ultimo Alias Activo: CSRIMPCUE Ultimo registro:          1 ORIGEN+STR(REGISTRO) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000






























































































LZIH02D9.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
23-06-2022 13:07:22 , Verificando OCX
23-06-2022 13:07:24 , Acceso al sistema, antes de autenticar
23-06-2022 13:07:24 , Obteniendo conexion a servidor
23-06-2022 13:07:26 , Conectado..181.224.113.20\sql2019,1170
23-06-2022 13:07:26 , Datos de la empresa
23-06-2022 13:09:04 , Verificando OCX
23-06-2022 13:09:05 , Acceso al sistema, antes de autenticar
23-06-2022 13:09:05 , Obteniendo conexion a servidor
23-06-2022 13:09:06 , Conectado..181.224.113.20\sql2019,1170
23-06-2022 13:09:06 , Datos de la empresa
23-06-2022 13:09:51 , Error: No se encuentra la variable 'NCOMIBULTOS'. Linea : INSERT INTO CsrImpCue VALUES ('AA',CsrCursor.fecha, lcNroComp, CsrCursor.cnombre_rte, CsrCursor.cnombre_dest ,nEntregado, no_contado, no_ctacte, nd_contado, nd_ctacte, nCR, C


























































































srCursor.Ajuste,'',i,CsrCursor.Ajuste_cReemb ,ncomision,nBultos, nComiBultos ) Error :         12 Ultimo Alias Activo: CSRCURSOR Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000Q9S9008D.TMP Ultimo Control activo:  RINDEFLETE.CMDIM


























































































PRIMIR.CLICK
23-06-2022 13:34:23 , Verificando OCX
23-06-2022 13:34:25 , Acceso al sistema, antes de autenticar
23-06-2022 13:34:25 , Obteniendo conexion a servidor
23-06-2022 13:34:28 , Conectado..181.224.113.20\sql2019,1170
23-06-2022 13:34:28 , Datos de la empresa
23-06-2022 13:34:53 , Error: Debe especificar parámetros adicionales. Linea : INSERT INTO CsrImpCue VALUES ('AB',CsrCursor.fecha, lcNroComp, CsrCursor.cnombre_rte, 'FLETE' ,nEntregado, CsrCursor.Ajuste, 0, 0, 0, 0, 0,CsrCursor.detaajuste,i,0) Error :    























































































     94 Ultimo Alias Activo: CSRCURSOR Ultimo registro:         42  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00004G090072.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
30-06-2022 11:07:43 , Verificando OCX
30-06-2022 11:07:45 , Acceso al sistema, antes de autenticar
30-06-2022 11:07:46 , Obteniendo conexion a servidor
30-06-2022 11:08:00 , Conectado..181.224.113.20\sql2019,1170
30-06-2022 11:08:01 , Datos de la empresa
30-06-2022 11:39:43 , Error: Incompatibilidad entre el tipo de operador y el tipo de operando. Linea : replace ALL clave WITH numcomp+'01' IN CsrImprimir Error :        107 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 NUMGRUPO+GRUPO+NUMGR





















































































UPO02+STR(ID,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000302100AN.TMP Ultimo Control activo:  SUBCARGA.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
30-06-2022 13:09:18 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00003




















































































02100SM.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
30-06-2022 13:10:27 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00003



















































































02100UD.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
30-06-2022 13:10:54 , Error: No se encuentra la variable 'CR'. Linea : replace gravado WITH gravado+lnFlete ,iva WITH iva + cr ,percep WITH percep+lnFleteCIVa ,tasa WITH tasa + bultos  IN csrimprimir Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ul


















































































timo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000302100VW.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
30-06-2022 13:11:51 , Error: Incompatibilidad entre el tipo de operador y el tipo de operando. Linea : replace gravado WITH gravado+lnFlete ,iva WITH iva + CsrCuerpo.cr ,percep WITH percep+lnFleteCIVa ,tasa WITH tasa + CsrCuerpo.bultos  IN csrimprimir Er

















































































ror :        107 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000302100XI.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
30-06-2022 13:16:50 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00003
















































































0210159.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
30-06-2022 13:17:54 , Error: El campo DETALLE no acepta valores NULL. Linea : INSERT INTO CsrImprimir(grupo,tasa,gravado,iva,interno,total,detalle,percep,id,detalle) VALUES (1,0,0,0,0,0,'',0,CsrCuerpo.idzona,CsrCuerpo.zona) Error :       1581 Ultimo Alia















































































s Activo: CSRIMPRIMIR Ultimo registro:         11 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00003021017I.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
02-07-2022 01:57:27 , Verificando OCX
02-07-2022 01:57:28 , Acceso al sistema, antes de autenticar
02-07-2022 01:57:28 , Obteniendo conexion a servidor
02-07-2022 01:57:30 , Conectado..181.224.113.20\sql2019,1170
02-07-2022 01:57:31 , Datos de la empresa
02-07-2022 01:57:35 , Verificando Licencia
02-07-2022 01:57:35 , Acceso exitoso
04-07-2022 15:22:11 , Verificando OCX
04-07-2022 15:22:14 , Acceso al sistema, antes de autenticar
04-07-2022 15:22:14 , Obteniendo conexion a servidor
04-07-2022 15:25:47 , Conectado..181.224.113.20\sql2019,1170
04-07-2022 15:25:49 , Datos de la empresa
07-07-2022 12:31:15 , Verificando OCX
07-07-2022 12:31:19 , Acceso al sistema, antes de autenticar
07-07-2022 12:31:19 , Obteniendo conexion a servidor
07-07-2022 12:31:21 , Conectado..181.224.113.20\sql2019,1170
07-07-2022 12:31:22 , Datos de la empresa
07-07-2022 12:31:57 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : CASE .cOrden$'F' Error :         11 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  SUBCTACTE.INIT
07-07-2022 12:32:13 , Verificando OCX
07-07-2022 12:32:15 , Acceso al sistema, antes de autenticar
07-07-2022 12:32:15 , Obteniendo conexion a servidor
07-07-2022 12:32:16 , Conectado..181.224.113.20\sql2019,1170
07-07-2022 12:32:17 , Datos de la empresa
07-07-2022 12:32:22 , Verificando Licencia
07-07-2022 12:32:23 , Acceso exitoso
07-07-2022 12:35:34 , Verificando OCX
07-07-2022 12:35:36 , Acceso al sistema, antes de autenticar
07-07-2022 12:35:36 , Obteniendo conexion a servidor
07-07-2022 12:43:30 , Conectado..181.224.113.20\sql2019,1170
07-07-2022 12:43:31 , Datos de la empresa
07-07-2022 12:43:39 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : CASE .cOrden$'F' Error :         11 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  SUBCTACTE.INIT
07-07-2022 13:18:40 , Error: No se encuentra el alias. Linea : Oca = GETCURSORADAPTER(lcalias) Error :         13 Ultimo Alias Activo: _CSRCOMPROBANTE Ultimo registro:         10 VAL(CNUMERO) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000OV7T018J.TMP Ultimo



































































 Control activo:  SUBFACTURA.INIT
07-07-2022 13:26:39 , Verificando OCX
07-07-2022 13:26:41 , Acceso al sistema, antes de autenticar
07-07-2022 13:26:41 , Obteniendo conexion a servidor
07-07-2022 13:26:42 , Conectado..miguel\sql2019
07-07-2022 13:26:56 , Datos de la empresa
07-07-2022 13:29:37 , Verificando OCX
07-07-2022 13:29:38 , Acceso al sistema, antes de autenticar
07-07-2022 13:29:39 , Obteniendo conexion a servidor
07-07-2022 13:29:40 , Conectado..miguel\sql2019
07-07-2022 13:29:50 , Datos de la empresa
07-07-2022 13:30:06 , Verificando Licencia
07-07-2022 13:30:07 , Acceso exitoso
07-07-2022 13:34:10 , Verificando OCX
07-07-2022 13:34:11 , Acceso al sistema, antes de autenticar
07-07-2022 13:34:11 , Obteniendo conexion a servidor
07-07-2022 13:34:12 , Conectado..miguel\sql2019
07-07-2022 13:34:21 , Datos de la empresa
07-07-2022 13:37:32 , Error: El archivo 'csrcaberto.dbf' no existe. Linea : SELECT CsrCabeRto.*,SPACE(3) as origen, SPACE(30) as planpago,SPACE(10) as sfecha ,CAST(0 as int) as idfleteplan,CAST(0 as int) as idcomproba,SPACE(22) as numcomp,0 as estadotild





























































e ,SPACE(30) as nomzona,' ' as grupo,SPACE(1) as Clasecomp,CAST(0 as int) as idvendedor,SPACE(3) as nomtipoiva ,SPACE(30) as detaEntregado, SPACE(30) as detaReembolso, SPACE(30) as detaFlete ,CAST(0 as n(14,2)) as Saldo ,CAST(0 as n(14,2)) as Afecta ,0 a





























































s entregado_ok, 0 as flete_ok, 0 as creembolso_ok, .f. as hayajuste ,SPACE(100) as detaajuste,SPACE(100) as detaajuste_creemb, ajuste as ajuste_total ,CAST(0 as n(14,2)) as comision FROM CsrCabeRto WHERE RECNO()=1 AND id=0 INTO CURSOR CsrAuxcabefac READW





























































RITE Error :          1 Ultimo Alias Activo: CSRAUXMAOPERA Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000OV7T02DX.TMP Ultimo Control activo:  RINDEFLETE.LOAD
07-07-2022 13:38:56 , Error: El archivo 'csrcaberto.dbf' no existe. Linea : SELECT CsrCabeRto.*,SPACE(3) as origen, SPACE(30) as planpago,SPACE(10) as sfecha ,CAST(0 as int) as idfleteplan,CAST(0 as int) as idcomproba,SPACE(22) as numcomp,0 as estadotild




























































e ,SPACE(30) as nomzona,' ' as grupo,SPACE(1) as Clasecomp,CAST(0 as int) as idvendedor,SPACE(3) as nomtipoiva ,SPACE(30) as detaEntregado, SPACE(30) as detaReembolso, SPACE(30) as detaFlete ,CAST(0 as n(14,2)) as Saldo ,CAST(0 as n(14,2)) as Afecta ,0 a




























































s entregado_ok, 0 as flete_ok, 0 as creembolso_ok, .f. as hayajuste ,SPACE(100) as detaajuste,SPACE(100) as detaajuste_creemb, ajuste as ajuste_total ,CAST(0 as n(14,2)) as comision FROM CsrCabeRto WHERE RECNO()=1 AND id=0 INTO CURSOR CsrAuxcabefac READW




























































RITE Error :          1 Ultimo Alias Activo: CSRAUXMAOPERA Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000OV7T02L6.TMP Ultimo Control activo:  RINDEFLETE.LOAD
07-07-2022 13:44:54 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : IF  ISDIGIT(chr(nKeycode)) Error :         11 Ultimo Alias Activo: CSRAUXCABEFAC Ultimo registro:          3 IDMAOPERA DBF: C:\USERS\MARCO\APPDATA\LO



























































CAL\TEMP\0000OV7T02QP.TMP Ultimo Control activo:  RINDEFLETE.KEYPRESS
08-07-2022 14:45:34 , Verificando OCX
08-07-2022 14:45:38 , Acceso al sistema, antes de autenticar
08-07-2022 14:45:38 , Obteniendo conexion a servidor
08-07-2022 14:47:46 , Conectado..miguel\sql2019
08-07-2022 14:48:01 , Datos de la empresa
08-07-2022 14:53:22 , Verificando OCX
08-07-2022 14:53:24 , Acceso al sistema, antes de autenticar
08-07-2022 14:53:24 , Obteniendo conexion a servidor
08-07-2022 14:53:25 , Conectado..181.224.113.20\sql2019,1170
08-07-2022 14:53:26 , Datos de la empresa
08-07-2022 14:56:50 , Verificando Licencia
08-07-2022 14:56:51 , Acceso exitoso
08-07-2022 15:13:01 , Verificando OCX
08-07-2022 15:13:02 , Acceso al sistema, antes de autenticar
08-07-2022 15:13:02 , Obteniendo conexion a servidor
08-07-2022 15:15:30 , Conectado..miguel\sql2019
08-07-2022 15:15:41 , Datos de la empresa
08-07-2022 15:18:19 , Verificando Licencia
08-07-2022 15:18:19 , Acceso exitoso
08-07-2022 15:21:15 , Verificando OCX
08-07-2022 15:21:17 , Acceso al sistema, antes de autenticar
08-07-2022 15:21:17 , Obteniendo conexion a servidor
08-07-2022 15:21:19 , Conectado..miguel\sql2019
08-07-2022 15:21:31 , Datos de la empresa
08-07-2022 16:11:08 , Verificando OCX
08-07-2022 16:11:10 , Acceso al sistema, antes de autenticar
08-07-2022 16:11:10 , Obteniendo conexion a servidor
08-07-2022 16:11:11 , Conectado..181.224.113.20\sql2019,1170
08-07-2022 16:11:12 , Datos de la empresa
08-07-2022 16:47:46 , Verificando OCX
08-07-2022 16:47:47 , Acceso al sistema, antes de autenticar
08-07-2022 16:47:47 , Obteniendo conexion a servidor
08-07-2022 16:47:48 , Conectado..181.224.113.20\sql2019,1170
08-07-2022 16:47:49 , Datos de la empresa
08-07-2022 16:48:58 , Verificando OCX
08-07-2022 16:48:59 , Acceso al sistema, antes de autenticar
08-07-2022 16:48:59 , Obteniendo conexion a servidor
08-07-2022 16:49:00 , Conectado..181.224.113.20\sql2019,1170
08-07-2022 16:49:00 , Datos de la empresa
08-07-2022 16:49:03 , Verificando Licencia
08-07-2022 16:49:03 , Acceso exitoso
08-07-2022 16:50:35 , Verificando OCX
08-07-2022 16:50:35 , Acceso al sistema, antes de autenticar
08-07-2022 16:50:35 , Obteniendo conexion a servidor
08-07-2022 16:50:36 , Conectado..181.224.113.20\sql2019,1170
08-07-2022 16:50:37 , Datos de la empresa
14-07-2022 19:50:55 , Verificando OCX
14-07-2022 19:50:58 , Acceso al sistema, antes de autenticar
14-07-2022 19:50:59 , Obteniendo conexion a servidor
14-07-2022 19:53:37 , Conectado..181.224.113.20\sql2019,1170
14-07-2022 19:53:38 , Datos de la empresa
14-07-2022 19:53:45 , Verificando Licencia
14-07-2022 19:53:45 , Acceso exitoso
14-07-2022 19:53:53 , Error: Código de excepción OLE IDispatch 0 de ADODB.Recordset: No se puede utilizar la conexión para realizar esta operación. Está cerrada o no es válida en este contexto.. Linea :  Error :       1429 Ultimo Alias Activo:  Ultimo re













































gistro:          0  DBF:  Ultimo Control activo:  MAIN
14-07-2022 19:55:47 , Verificando OCX
14-07-2022 19:55:48 , Acceso al sistema, antes de autenticar
14-07-2022 19:55:48 , Obteniendo conexion a servidor
14-07-2022 19:55:50 , Conectado..181.224.113.20\sql2019,1170
14-07-2022 19:55:50 , Datos de la empresa
14-07-2022 19:55:53 , Verificando Licencia
14-07-2022 19:55:54 , Acceso exitoso
