;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;SKU;#;DENOMINACION;UN;RUBRO;(!);OBS;ACTIVO;CODIGO SAP;
;292;E;ESPONJA DE VIRULANA;UN;LIMPIEZA;;;;;
;293;E;ESPONJA PARA VAJILLA;UN;LIMPIEZA;;;;;
;294;E;ESPUMADERA DE ALUMINIO;UN;VAJILLA;;;;;
;295;E;ESTACA PARA CARTEL DE OBRA HIERRO LISO DIAMETRO 12 MM LONGITUD: 1 50 MT;UN;MAQ&HERR;;;;;
;296;E;ESTACAS PARA VALLADO D12MM LISO;UN;MAQ&HERR;;;;;
;297;E;ESTACAS PARA VALLADO D12MM TORSIONADO;UN;MAQ&HERR;;;;;
;298;E;ESTAPULA 80mm;UN;MAQ&HERR;;;;;
;299;E;EXTINTOR ABC 1 KG;UN;MAQ&HERR;;;;;
;300;E;EXTINTOR ABC 10 KG;UN;MAQ&HERR;;;;;
;301;E;EXTINTOR ABC 2 KG;UN;MAQ&HERR;;;;;
;302;E;EXTINTOR ABC 2 5 KG;UN;MAQ&HERR;;;;;
;303;E;EXTINTOR ABC 5 KG;UN;MAQ&HERR;;;;;
;304;E;EXTINTOR ABC 6 KG;UN;MAQ&HERR;;;;;
;305;E;EXTINTOR ABC K 6 KG;UN;MAQ&HERR;;;;;
;306;E;EXTINTOR AK 6KG;UN;MAQ&HERR;;;;;
;307;E;EXTINTOR HCFC 5 KG;UN;MAQ&HERR;;;;;
;308;F;FAJA CON CRIQUE 9MT X 5CM;UN;MAQ&HERR;;;;;
;309;F;FAJA CON CRIQUE POL G.JOTA 9000X75 MM;UN;MAQ&HERR;;;;;
;310;F;FAROS ANTINIEBLA TOYOTA MODELO 2016 EN ADELANTE;PAR;REPUESTO;;;;;
;311;F;FENOLICO CALIDAD INDUSTRIAL 1 22 x 2 44 x 18 MM;UN;CONSUMIBLE;;;;;
;312;F;FERULA INFLABLE MIEMB SUPERIOR ANTEBRAZO;UN;BOTIQUIN;;;;;
;313;F;FERULA INFLABLE MIEMBRO INFERIOR ENTERO;UN;BOTIQUIN;;;;;
;314;F;FERULA INFLABLE MIEMBRO SUPERIOR ENTERO;UN;BOTIQUIN;;;;;
;315;F;FIBRA INDELEBLE AMARILLA;UN;LIBRERÍA;;;;;
;316;F;FIBRA INDELEBLE AZUL;UN;LIBRERÍA;;;;;
;317;F;FIBRA INDELEBLE NEGRA;UN;LIBRERÍA;;;;;
;318;F;FIBRA INDELEBLE ROJA;UN;LIBRERÍA;;;;;
;319;F;FIBRA INDELEBLE VERDE;UN;LIBRERÍA;;;;;
;320;F;FIBRA PIZARRA AZUL;UN;LIBRERÍA;;;;;
;321;F;FIBRA PIZARRA NEGRA;UN;LIBRERÍA;;;;;
;322;F;FIBRA PIZARRA ROJA;UN;LIBRERÍA;;;;;
;323;F;FIBRA PIZARRA VERDE;UN;LIBRERÍA;;;;;
;324;F;FIBRON DE PINTURA AMARILLO TRAZO GRUESO;UN;LIBRERÍA;;;;;
;325;F;FIBRON DE PINTURA AZUL TRAZO GRUESO;UN;LIBRERÍA;;;;;
;326;F;FIBRON DE PINTURA BLANCO TRAZO GRUESO;UN;LIBRERÍA;;;;;
;327;F;FIBRON DE PINTURA NEGRO TRAZO GRUESO;UN;LIBRERÍA;;;;;
;328;F;FIBRON DE PINTURA ROJO TRAZO GRUESO;UN;LIBRERÍA;;;;;
;329;F;FICHA HEMBRA 16 AMP 6HS STECK o SCAME;UN;MAQ&HERR;;;;;
;330;F;FICHA MACHO  16 AMP 6HS STECK o SCAME;UN;MAQ&HERR;;;;;
;331;F;FILTRO 3M 6003/07047;PAR;EPP;;;;;
;332;F;FILTRO 40 MICRONES PARKER 06E28A18AC1;UN;CONSUMIBLE;;;;;
;333;F;FILTRO 5 MICRONES PARKER 07F38AC1;UN;CONSUMIBLE;;;;;
;334;F;FILTRO ACEITE ROBIN SUBARU 24865801;UN;REPUESTO;;;;;
;335;F;"FILTRO COALESCENTE FINITE PARKER 3/8"" NPT FPHN15L-6CW";UN;CONSUMIBLE;;;;;
;336;F;FILTRO COMBUSTIBLE ROBIN SUBARU RS263-65012-A3;UN;REPUESTO;;;;;
;337;F;FILTRO DE ACEITE FLEETGUARD LF3614;UN;REPUESTO;;;;;
;338;F;FILTRO LINEA DE COMBUSTIBLE FLEETGUARD FF149;UN;REPUESTO;;;;;
;339;F;FILTRO PARA CAFÉ CAFETERA AUTOMATICA;UN;COMESTIBLES;;;;;
;340;F;"FILTRO S07 1/2"" PARKER CODIGO AP07F38AC1";UN;REPUESTO;;;;;
;341;F;FLEJE P/CAMISA 2MM  X 25MM X 2 44 MTS.;UN;MATERIAL;;;;;
;342;F;FOLIO A4 REFORZADO;UN;LIBRERÍA;;;;;
;343;F;FRANELA;UN;LIMPIEZA;;;;;
;344;G;GALGA PARA SOLDADURA;UN;MAQ&HERR;;;;;
;345;G;GALLETA DULCE SURTIDO BAGLEY O SIMILAR;UN;COMESTIBLES;;;;;
;346;G;GALLETA SALADA TRAVIATA O SIMILAR;UN;COMESTIBLES;;;;;
;347;G;"GANCHO GR80 - 3/8"" x 10";UN;MAQ&HERR;;;;;
;348;G;GARRAFA 10KG;UN;MAQ&HERR;;;;;
;349;G;GATILLO HOMBRE MUERTO;UN;MAQ&HERR;;;;;
;350;G;GATILLO HOMBRE MUERTO MARCA BLASTING;UN;MAQ&HERR;;;;;
;351;G;GATILLO VALVULA CONT DIST CORR BLAST CB-TV-00504 (HOMBRE MUERTO);UN;MAQ&HERR;;;;;
;352;G;GEL ACOPLANTE MAGNAFLUX 2 PARA ULTRASONIDO X GALON;UN;END;;;;;
;353;G;GEL MAGNAFLUX ULTRAGEL II SONOTECH GEL 3 8LT X GALON;UN;END;;;;;
;354;G;GEL SONOTECH ULTRAGEL II x 3 8 LT X GALON;UN;END;;;;;
;355;G;GRASA DE LITIO;KG;CONSUMIBLE;;;;;
;356;G;GRASA DE LITIO 62 EP MULTIUSO;KG;CONSUMIBLE;;;;;
;357;G;GRASA PARA MARTILLO HIDRÁULICO (HAMMER GREASE) TIPO NLGI GRADO 2;KG;CONSUMIBLE;;;;;
;358;G;GRASERA MANUAL CAPACIDAD 3 KG;UN;MAQ&HERR;;;;;
;359;G;GRASERA NEUMÁTICA 10 KG;UN;MAQ&HERR;;;;;
;360;G;"GRILLETE CROSBY TIPO ANCLA CON PERNO 1""";UN;MAQ&HERR;;;;;
;361;G;"GRILLETE CROSBY TIPO ANCLA CON PERNO ROSCADO G-209 / S-209  7/8"" 6 5TN";UN;MAQ&HERR;;;;;
;362;G;GUANTE ALTO IMPAC. EXTREMO DPS83685X;UN;EPP;;;;;
;363;G;GUANTE ANTI CORTE E IMPACTO PROTECTOR GV04 TALLE 10;PAR;EPP;;;;;
;364;G;GUANTE ANTIVIBRATORIO GV04;UN;EPP;;;;;
;365;G;GUANTE DE ACRILONITRILO VERDES PUÑO LARGO;PAR;EPP;;;;;
;366;G;GUANTE DE CUERO PARA SOLDADOR;PAR;EPP;;;;;
;367;G;GUANTE DE LATEX ENTALCADO DESCARTABLE;UN;EPP;;;;;
;368;G;GUANTE DE LATEX-NITRILO ENTALCADO DESCARTABLE;UN;EPP;;;;;
;369;G;GUANTE DE NITRILO MEDIO DPS 11356;PAR;EPP;;;;;
;370;G;GUANTE DE SOLDADOR CANOR CD 216;UN;EPP;;;;;
;371;G;GUANTE MAPA ULTRANE 553 TALLE 10;PAR;EPP;;;;;
;372;G;GUANTE NITRILO DELTA PLUS NI175 AZU #9;PAR;EPP;;;;;
;373;G;GUANTE NITRILO TITAN 388 AZU MAPA #9;PAR;EPP;;;;;
;374;G;GUANTE PARA LAVAR PLATO TALLE MEDIANO;PAR;EPP;;;;;
;375;G;GUANTE PASEO VAQUETA AMA FLEXICUER 1037 T#9;PAR;EPP;;;;;
;376;G;GUANTE TEJIDO ANTIVIBRATORIO;UN;EPP;;;;;
;377;G;GUANTES SOLDADOR DESCARNE STEELPRO 15 CM;PAR;EPP;;;;;
;378;H;HIELERA CONSERVADORA 28 LT;UN;MAQ&HERR;;;;;
;379;H;HOJA PARA SIERRA METALICA MANUAL ACERO CARBONO 18 DIENTE X PLG;UN;CONSUMIBLE;;;;;
;380;H;HOJA PARA SIERRA METALICA MANUAL ACERO CARBONO 24 DIENTE X PLG;UN;CONSUMIBLE;;;;;
;381;H;HOJA PARA SIERRA METALICA MANUAL ACERO CARBONO 32 DIENTE X PLG;UN;CONSUMIBLE;;;;;
;382;H;HORNO MICROONDAS;UN;ELECTRODOMESTICO;;;;;
;383;I;IMPRESORA MULTIFUNCION COLOR RECARGABLE;UN;LIBRERÍA;;;;;
;384;I;IMPRIMACION REVESTIMIENTO-POLYKEN 1027;LT;MATERIAL;;;;;
;385;I;INDICADOR DE PUNTA Y PROTECTOR DE SEGURIDAD  PVC  COLOR NARANJA;UN;EPP;;;;;
;386;I;INSECTICIDA RAID;UN;LIMPIEZA;;;;;
;387;I;IODO SOLUCIÓN IODADA FRASCO X 100 ML;UN;BOTIQUIN;;;;;
;388;J;"JABALINA PAT AC-CU 3/8"" X 750 MM";UN;ELECTRICIDAD;;;;;
;389;J;JABÓN LIQUIDO PARA MANOS;LT;LIMPIEZA;;;;;
;390;J;JUEGO DE DESTORNILLADORES BAHCO MODELO 3000/60 GREEN;UN;MAQ&HERR;;;;;
;391;J;"JUEGO LLAVE TUBO ENCASTRE 1/2""";UN;MAQ&HERR;;;;;
;392;J;JUEGO MECHA AC RAPIDO 1 a 13mm;UN;MAQ&HERR;;;;;
;393;J;"JUNTA DE CIERRE 3""";UN;REPUESTO;;;;;
;394;L;LAMINA MYLAR X 20 UNIDADES CODIGO TSB0099 ;UN;CONSUMIBLE;;;;;
;395;L;LAMINAS DE MYLAR BLASTING X 25 UN CODIGO AK09002;UN;REPUESTO;;;;;
;396;L;LAMPARA DULUX D26/21-26 W 2 PINES-B-OSRAM;UN;REPUESTO;;;;;
;397;L;LAMPARA H4 12V;UN;REPUESTO;;;;;
;398;L;LAMPARA LED LUZ FRIA E27 12W 220V X 10UN;UN;ELECTRICIDAD;;;;;
;399;L;LAMPARA LED LUZ FRIA E27 9W/10W 220V;UN;ELECTRICIDAD;;;;;
;400;L;LAMPAZO GRANDE;UN;LIMPIEZA;;;;;
;401;L;LAPICERA TRAZO FINO AZUL;UN;LIBRERÍA;;;;;
;402;L;LAPICERA TRAZO FINO NEGRO;UN;LIBRERÍA;;;;;
;403;L;LAPICERA TRAZO FINO ROJO;UN;LIBRERÍA;;;;;
;404;L;LAPIZ CARPINTERO;UN;LIBRERÍA;;;;;
;405;L;LAPIZ NEGRO HB;UN;LIBRERÍA;;;;;
;406;L;LAVA OJOS DE EMERGENCIA;UN;CONSUMIBLE;;;;;
;407;L;LAVANDINA;LT;LIMPIEZA;;;;;
;408;L;LAVANDINA EN GEL;UN;LIMPIEZA;;;;;
;409;L;LAVANDINA X 5 LT;UN;LIMPIEZA;;;;;
;410;L;LECHE EN POLVO ILOLAY X 800 GR O SIMILAR;UN;COMESTIBLES;;;;;
;411;L;LIBRETA A5 ANOTADOR;UN;LIBRERÍA;;;;;
;412;L;LIJA TELA DE ESMERIL 100;UN;CONSUMIBLE;;;;;
;413;L;LIJA TELA DE ESMERIL 120;UN;CONSUMIBLE;;;;;
;414;L;LIJA TELA DE ESMERIL 150;UN;CONSUMIBLE;;;;;
;415;L;LIJA TELA DE ESMERIL 180;UN;CONSUMIBLE;;;;;
;416;L;LIJA TELA DE ESMERIL 60;UN;CONSUMIBLE;;;;;
;417;L;LIJA TELA DE ESMERIL 80;UN;CONSUMIBLE;;;;;
;418;L;"LIMA MEDIA CAÑA 12"" GRANO MEDIANO";UN;MAQ&HERR;;;;;
;419;L;"LIMA MEDIA CAÑA 8"" GRANO GRUESO";UN;MAQ&HERR;;;;;
;420;L;LIMPIA COTACTO EN AEROSOL;UN;ELECTRONICA;;;;;
;421;L;LIMPIADOR DE HORNO EN AEROSOL;UN;LIMPIEZA;;;;;
;422;L;LIMPIADOR MULTIUSO GATILLO;UN;LIMPIEZA;;;;;
;423;L;LIMPIADOR MULTIUSO X LITRO;LT;LIMPIEZA;;;;;
;424;L;LINTERNA LED DE 1 ELEMENTOS AA;UN;MAQ&HERR;;;;;
;425;L;LINTERNA LED DE 2 ELEMENTOS AA;UN;MAQ&HERR;;;;;
;426;L;LINTERNA LED DE 3 ELEMENTOS AA;UN;EPP;;;;;
;427;L;LINTERNA LED DE 5 ELEMENTOS 2D;UN;MAQ&HERR;;;;;
;428;L;LIQUIDO DE LAMPAZO;LT;LIMPIEZA;;;;;
;429;L;LIQUIDO LIMPIAVIDRIOS X 500 CM3;UN;LIMPIEZA;;;;;
;430;L;LIQUIDO PENETRANTE ZL 67 MAGNAFLUX;UN;END;;;;;
;431;L;LLAVE AJUSTABLE FRANCESA 375mm;UN;MAQ&HERR;;;;;
;432;L;LLAVE PARA MICROTRACK / GEOTAB;UN;MAQ&HERR;;;;;
;433;L;"LLAVE TUBO ESTRIADA ENCASTRE 3/4"" X 32 MM";UN;MAQ&HERR;;;;;
;434;L;LONA CAPUCHÓN PARA BOLSA DE ARENA 1 10x1 10x1 10;UN;MAQ&HERR;;;;;
;435;L;LONA DE SOBREPASO CARRETON;UN;MAQ&HERR;;;;;
;436;L;LONA ESCAFANDRA DE ARENADO - REPARACIÓN;GL;MAQ&HERR;;;;;
;437;L;LUSTRA MUEBLES EN AEROSOL BLEM O SIMILAR;UN;LIMPIEZA;;;;;
;438;M;MAGNAFLUX 7C BLACK PM VÍA HUMEDA 1KG;UN;END;;;;;
;439;M;MAGNAFLUX PARTICULAS MAGNETIZABLES 14A FLUORESCENTES X KG;KG;END;;;;;
;440;M;MAGNAFLUX PARTICULAS MAGNETIZABLES 2 YELLOW X KG;KG;END;;;;;
;441;M;MAGNAFLUX PARTICULAS MAGNETIZABLES 3A BLACK X KG;KG;END;;;;;
;442;M;MAGNAFLUX PARTICULAS MAGNETIZABLES 7C BLACK X KG;KG;END;;;;;
;443;M;MAGNAFLUX PARTICULAS MAGNETIZABLES 8A RED X KG;KG;END;;;;;
;444;M;MAGNAFLUX WA-4 DISTENSOR X 5 LITROS;UN;END;X;costo elevado;;;
;445;M;MAGNAFLUX WCP-2 CONTRAST BLANCO 385ML;UN;END;;;;;
;446;M;MALLA NARANJA REFLECTIVA DE 1 MT X 50 MT;UN;CONSUMIBLE;;;;;
;447;M;MALLA SIMA 50x50x2 6 MM 1 20X3 00 MT;UN;MATERIAL;;;;;
;448;M;MAMELUCO DESCARTABLE SIN BOTAS #L;UN;EPP;;;;;
;449;M;MAMELUCO DESCARTABLE SIN BOTAS #XL;UN;EPP;;;;;
;450;M;MAMELUCO DESCARTABLE SIN BOTAS #XXL;UN;EPP;;;;;
;451;M;MANGA DE CUERO DE DESCARNE PARA SOLDADOR;PAR;EPP;;;;;
;452;M;"MANGA PARA BOMBA SUMERGIBLE 2""";MT;CONSUMIBLE;;;;;
;453;M;"MANGO FUERZA ENCASTRE 3/4""";UN;MAQ&HERR;;;;;
;454;M;MANGUERA DE AIRE 3/8 20KG/MT2;MT;MAQ&HERR;;;;;
;455;M;"MANGUERA ORIGINAL CETEC CON ACOPLES RÁPIDOS 3/4""";MT;MAQ&HERR;;;;;
;456;M;"MANGUERA PARA ABRASIVOS DE 3/4"" (Tuder Italy Abrasibo 10 W.P. 10 bar w.p. 150 psi)";MT;MAQ&HERR;;;;;
;457;M;"MANGUERA PARA AIRE 1/4""";MT;CONSUMIBLE;;;;;
;458;M;"MANGUERA PARA GAS NATURAL 1/4""";MT;MAQ&HERR;;;;;
;459;M;MANGUERA PARA GRASERA;MT;MAQ&HERR;;;;;
;460;M;"MANGUERA PARA RIEGO DE 3/4""";MT;MAQ&HERR;;;;;
;461;M;"MANGUERA PUSH-LOCK PARKER 1/4""";MT;MAQ&HERR;;;;;
;462;M;"MANOMETRO 40 MM 10 BAR 1/8"" NPT S/POST";UN;REPUESTO;;;;;
;463;M;MANOMETRO CAMBIO DE FILTRO GAUGE 25 PSI;UN;REPUESTO;;;;;
;464;M;MANQUERA DE AIRE 3/4 20 KG/MT2;MT;MAQ&HERR;;;;;
;465;M;MANUAL DE OPERACIÓN CATERPILLAR 416 E 4X4;UN;EQUIPOS;;;;;
;466;M;MAQUINA DE REVESTIR;UN;MAQ&HERR;;;;;
;467;M;MASCARA FACIAL DE CARA COMPLETA 3M 6800;UN;EPP;;;;;
;468;M;MASCARA FOTOSENSIBLE MARCA KUSHIRO SZ-EBS2;UN;HERRAMIENTA;;;;;
;469;M;MASILLA POLIESTER X 1000 gr;UN;CONSUMIBLE;;;;;
;470;M;MASILLA POLIESTER X 500 gr;UN;CONSUMIBLE;;;;;
;471;M;MATAFUEGO TIPO ABC 1 KG PARA VEHÍCULO;UN;EPP;;;;;
;472;M;MATERIAL ABSORBENTE;KG;CONSUMIBLE;;;;;
;473;M;MATES VARIOS;UN;VAJILLA;;;;;
;474;M;MAZA DE BRONCE 1 00 KG MANGO INTEGRADO;UN;MAQ&HERR;;;;;
;475;M;MAZA DE BRONCE 2 00 KG MANGO INTEGRADO;UN;MAQ&HERR;;;;;
;476;M;MAZA DE BRONCE 3 00 KG MANGO INTEGRADO;UN;MAQ&HERR;;;;;
;477;M;MAZA DE BRONCE MANGO INTEGRADO 1 KG;UN;MAQ&HERR;X;precio/recambio;;;
;478;M;MAZA DE BRONCE MANGO INTEGRADO 2 KG;UN;MAQ&HERR;X;precio/recambio;;;
;479;M;MAZA DE BRONCE MANGO INTEGRADO 3 KG;UN;MAQ&HERR;X;precio/recambio;;;
;480;M;MECHA ACERO RÁPIDO 1 mm;UN;MAQ&HERR;;;;;
;481;M;MECHA ACERO RÁPIDO 1 5 mm;UN;MAQ&HERR;;;;;
;482;M;MECHA ACERO RÁPIDO 10 mm;UN;MAQ&HERR;;;;;
;483;M;MECHA ACERO RÁPIDO 11 mm;UN;MAQ&HERR;;;;;
;484;M;MECHA ACERO RÁPIDO 12 mm;UN;MAQ&HERR;;;;;
;485;M;MECHA ACERO RÁPIDO 13 mm;UN;MAQ&HERR;;;;;
;486;M;MECHA ACERO RÁPIDO 2 mm;UN;MAQ&HERR;;;;;
;487;M;MECHA ACERO RÁPIDO 3 mm;UN;MAQ&HERR;;;;;
;488;M;MECHA ACERO RÁPIDO 4 mm;UN;MAQ&HERR;;;;;
;489;M;MECHA ACERO RÁPIDO 5 mm;UN;MAQ&HERR;;;;;
;490;M;MECHA ACERO RÁPIDO 6 mm;UN;MAQ&HERR;;;;;
;491;M;MECHA ACERO RÁPIDO 7 mm;UN;MAQ&HERR;;;;;
;492;M;MECHA ACERO RÁPIDO 8 mm;UN;MAQ&HERR;;;;;
;493;M;MECHA ACERO RÁPIDO 9 mm;UN;MAQ&HERR;;;;;
;494;M;MEDIDOR DE ANGULOS DAVIDSON BASE MAGNÉTICA;UN;MAQ&HERR;;;;;
;495;M;MODEM CLARO;UN;MAQ&HERR;;;;;
;496;M;MONITOR DELL;UN;INFORMATICA;;;;;
;497;M;MOUSE GENERICO;UN;INFORMATICA;;;;;
;498;N;"NIPLE FURMANITE Ø2"" S-3000 A-106 L.101 6";UN;MATERIAL;;;;;
;499;N;"NIPLE MM 1/2"" PVC";UN;REPUESTO;;;;;
;500;O;"O´RING 3/4"" ACOPLE RAPIDO AIRE";UN;MAQ&HERR;;;;;
;501;P;"PACK DISCO LIJA 7"" GRANO 36";UN;CONSUMIBLE;;;;;
;502;P;PALA CORAZON CABO CORTO CON MANGO;UN;MAQ&HERR;;;;;
;503;P;PALA CORAZON CABO LARGO CON MANGO;UN;MAQ&HERR;;;;;
;504;P;PALA PLASTICO P/BASURA;UN;LIMPIEZA;;;;;
;505;P;PALO PARA ESCOBILLON;UN;LIMPIEZA;;;;;
;506;P;PAPEL CARTA DOCUMENTO;UN;LIBRERÍA;;;;;
;507;P;PAPEL HIGIENICO 80 mt x 4 rollos;UN;LIMPIEZA;;;;;
;508;P;PAPEL HIGIENICO ROLLO 80 MT X 4 UN;UN;LIMPIEZA;;;;;
;509;P;PAPEL TOALLA 20X24 CM 2500 UN;UN;CONSUMIBLE;;;;;
;510;P;PARCHE DEA MARCA PHILLIPS;UN;MAQ&HERR;;;;;
;511;P;PAVA ELÉCTRICA PHILIPS P.A.D HD4691/20;UN;MAQ&HERR;;;;;
;512;P;PERFORADORA PAPEL;UN;LIBRERÍA;;;;;
;513;P;PERVINOX 100 ML;UN;CONSUMIBLE;;;;;
;514;P;"PICO INFLADOR CON ESPIGA 1/4""";UN;CONSUMIBLE;;;;;
;515;P;PILA A23 12 VOLT;UN;CONSUMIBLE;;;;;
;516;P;PILA AA DOBLE A;UN;CONSUMIBLE;;;;;
;517;P;PILA AAA TRIPLE A ENERGIZER;UN;CONSUMIBLE;;;;;
;518;P;PILA D;UN;CONSUMIBLE;;;;;
;519;P;PINCEL CERDA SUAVE N°10;UN;CONSUMIBLE;;;;;
;520;P;PINCEL CERDA SUAVE N°20;UN;CONSUMIBLE;;;;;
;521;P;"PINCEL DE 2""";UN;CONSUMIBLE;;;;;
;522;P;PINTURA EPOXI R-95 (LATA X 4 6 LTS. );KIT;MATERIAL;;;;;
;523;P;PINTURA ESMALTE SINTÉTICO BLANCO 3 EN 1;LT;CONSUMIBLE;;;;;
;524;P;PINTURA ESMALTE SINTÉTICO COLOR AZUL;LT;CONSUMIBLE;;;;;
;525;P;PINTURA ESMALTE SINTÉTICO COLOR NARANJA SEGURITO;LT;CONSUMIBLE;;;;;
;526;P;PINTURA ESMALTE SINTÉTICO COLOR NEGRO BRILLANTE;LT;CONSUMIBLE;;;;;
;527;P;PINTURA ESMALTE SINTÉTICO EN AEROSOL AMARILLO;UN;CONSUMIBLE;;;;;
;528;P;PINTURA ESMALTE SINTÉTICO EN AEROSOL BLANCO;UN;CONSUMIBLE;;;;;
;529;P;PINTURA ESMALTE SINTÉTICO EN AEROSOL NARANJA;UN;CONSUMIBLE;;;;;
;530;P;PINTURA ESMALTE SINTÉTICO EN AEROSOL NEGRO;UN;CONSUMIBLE;;;;;
;531;P;PINTURA ESMALTE SINTÉTICO EN AEROSOL ROJO;UN;CONSUMIBLE;;;;;
;532;P;PINTURA ESMALTE SINTÉTICO EN AEROSOL VERDE;UN;CONSUMIBLE;;;;;
;533;P;PINTURA ESMALTE SINTETICO EN SPRAY BLA;UN;CONSUMIBLE;;;;;
;534;P;PINTURA ESMALTE SINTÉTICO NEGRO 3 EN 1;LT;CONSUMIBLE;;;;;
;535;P;PINTURA ESMALTE SINTÉTICO NEGRO RAL 9017;LT;CONSUMIBLE;;;;;
;536;P;PINZA ALICATE 140 MM;UN;MAQ&HERR;;;;;
;537;P;PINZA MASA 400 AMP MARCA HELICTOR;UN;MAQ&HERR;;;;;
;538;P;PINZA MASA 600 AMP MARCA HELICTOR;UN;MAQ&HERR;;;;;
;539;P;PINZA PELACABLE 0 25-6 00 MM2;UN;MAQ&HERR;;;;;
;540;P;PINZA PICO DE LORO 240 MM;UN;MAQ&HERR;;;;;
;541;P;PINZA PORTA ELECTRODO 400 AMP MARCA HELICTOR;UN;MAQ&HERR;;;;;
;542;P;PINZA PORTA ELECTRODO 600 AMP MARCA HELICTOR;UN;MAQ&HERR;;;;;
;543;P;PINZA PUNTA BAHCO 2471G-160;UN;MAQ&HERR;;;;;
;544;P;"PINZA UNIVERSAL 7""";UN;MAQ&HERR;;;;;
;545;P;PISTOLA PARA PINTURA;UN;MAQ&HERR;;;;;
;546;P;PIZARRA BLANCA 60X90 CM;UN;LIBRERÍA;;;;;
;547;P;PIZARRA DE CORCHO 88 CM X 58 CM;UN;LIBRERÍA;;;;;
;548;P;PLACA CALCO PARA CARTEL DE OBRA  40 CM X 30 (ZANJA ABIERTA) RIGIDO;UN;REPUESTO;;;NO;;
;549;P;PLACA CALCO PARA CARTEL DE OBRA  40 CM X 30 (ZONA DE ARENADO) RIGIDO;UN;REPUESTO;;;NO;;
;550;P;PLACA CALCO PARA CARTEL DE OBRA  60 CM X 40 CM (GENERICO) RIGIDO;UN;REPUESTO;;;NO;;
;551;P;PLACA CALCO PARA CARTEL DE OBRA  60 CM X 40 CM (ZANJA ABIERTA) RIGIDO;UN;REPUESTO;;;NO;;
;552;P;PLACA CALCO PARA CARTEL DE OBRA  60 CM X 40 CM (ZONA DE ARENADO) RIGIDO;UN;REPUESTO;;;NO;;
;553;P;PLACA CARTEL DE PVC 40 CM X 45 CM (PUNTO DE REUNIÓN) RIGIDO;UN;REPUESTO;;;NO;;
;554;P;PLACA CARTEL DE PVC 60 CM X 40 CM CM (PUNTO DE REUNIÓN) RIGIDO;UN;REPUESTO;;;NO;;
;555;P;PLACA PARA CARTEL DE OBRA  40 CM X 30 (DESVIO DERECHA) RIGIDO;UN;REPUESTO;;;NO;;
;556;P;PLACA PARA CARTEL DE OBRA  40 CM X 30 (DESVIO IZQUIERDA) RIGIDO;UN;REPUESTO;;;NO;;
;557;P;PLACA PARA CARTEL DE OBRA  40 CM X 30 (ESTACIONAMIENTO) RIGIDO;UN;REPUESTO;;;NO;;
;558;P;PLACA PARA CARTEL DE OBRA  40 CM X 30 (HOMBRES TRABAJANDO) RIGIDO;UN;REPUESTO;;;NO;;
;559;P;PLACA PARA CARTEL DE OBRA  40 CM X 30 (MAQUINAS TRABAJANDO) RIGIDO;UN;REPUESTO;;;NO;;
;560;P;PLACA PARA CARTEL DE OBRA  60 CM X 40 CM (DESVIO DERECHA) RIGIDO;UN;REPUESTO;;;NO;;
;561;P;PLACA PARA CARTEL DE OBRA  60 CM X 40 CM (DESVIO IZQUIERDA) RIGIDO;UN;REPUESTO;;;NO;;
;562;P;PLACA PARA CARTEL DE OBRA  60 CM X 40 CM (ESTACIONAMIENTO) RIGIDO;UN;REPUESTO;;;NO;;
;563;P;PLACA PARA CARTEL DE OBRA  60 CM X 40 CM (HOMBRES TRABAJANDO) RIGIDO;UN;REPUESTO;;;NO;;
;564;P;PLACA PARA CARTEL DE OBRA  60 CM X 40 CM (MAQUINAS TRABAJANDO) RIGIDO;UN;REPUESTO;;;NO;;
;565;P;PLATO DE COCINA ACERO INOXIDABLE;UN;MAQ&HERR;;;;;
;566;P;PORTA BLOCK ACRILICO A4;UN;LIBRERÍA;;;;;
;567;P;PORTA ROLLO PARA PAPEL TOALLA;UN;LIMPIEZA;;;;;
;568;P;PRECINTO DE 200 MM x 4 6 MM;UN;CONSUMIBLE;;;;;
;569;P;PRECINTO DE 300 MM x 4 7 MM;UN;CONSUMIBLE;;;;;
;570;P;PRECINTO DE 300 MM x 7 6 MM;UN;CONSUMIBLE;;;;;
;571;P;PROLONGADOR ZAPATILLA CORRIENTE 220V 3 BOCAS CON TECLA Y PROT TERMICO;UN;INFORMATICA;;;;;
;572;P;PROTECTOR AUDITIVO ENDOEURAL NAR 3M 1110 CON CORDEL;UN;EPP;;;;;
;573;P;PROTECTOR AUDITIVO LIBUS QUANTUM ESTRIADO CON CORDEL;UN;EPP;;;;;
;574;P;PROTECTOR AUDITIVO NAR 3M 1100 53055-PINO-GOMA;UN;EPP;;;;;
;575;P;PROTECTOR FACIAL BURBUJA;UN;EPP;;;;;
;576;P;PROTECTOR SOLAR FPS 50 AEROSOL DERMAGLÓS;UN;CONSUMIBLE;;;;;
;577;P;PULVERIZADOR FUMIGADOR GUARANÍ;UN;MAQ&HERR;;;;;
;578;P;PULVERIZADOR MANUAL PARA PARTICULAS HUMENDAS;UN;CONSUMIBLE;;;;;
;579;P;PULVERIZADOR MANUAL PARA PARTICULAS SECAS;UN;END;;;;;
;580;P;PUNTA PARA MARTILLO HIDRÁULICO;UN;REPUESTO;;;;;
