
















































































































































ol activo:  EXPORTAR_HOLISTOR.INIT
08-02-2024 14:55:22 , Verificando Licencia
 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B6104GG.TMP Ultimo Control activo:  SUBSTOCK.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
29-05-2024 12:54:04 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : replace ALL descripcion WITH ALLTRIM(nomcomproba)+' '+numcomp + '(' + alltrim(str(ctacte))+ ') ' IN CsrImprimir Error :         11 Ultimo Alias Activ




































































































o: CSRIMPRIMIR Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B6104M7.TMP Ultimo Control activo:  SUBSTOCK.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
29-05-2024 12:57:57 , Error: SQL: no se encuentra la columna 'IMPORTE'. Linea : SELECT DTOC(TTOD(fecha)) as fecha ,cabrevia+" "+LEFT(numcomp,1)+" "+SUBSTR(numcomp,2,4)+"-"+RIGHT(numcomp,8) as nomcomproba ,cnumero ,cnombre ,cantidad ,importe ,deposito ,id



































































































maopera,nomctacte,ctacte FROM CsrImprimir INTO CURSOR CsrImprimir READWRITE Error :       1806 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B6104RB.TMP Ultimo Control activo:  SUBSTOCK.IMPRIMI



































































































R_VISTAPREVIA1.EXCEL.CLICK
29-05-2024 12:59:00 , Error: SQL: no se encuentra la columna 'IDMAOPERA'. Linea : SELECT DTOC(TTOD(fecha)) as fecha ,cabrevia+" "+LEFT(numcomp,1)+" "+SUBSTR(numcomp,2,4)+"-"+RIGHT(numcomp,8) as nomcomproba ,cnumero ,cnombre ,cantidad ,deposito ,idmaopera


































































































,nomctacte,ctacte FROM CsrImprimir INTO CURSOR CsrImprimir READWRITE Error :       1806 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:        161  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B6104TG.TMP Ultimo Control activo:  SUBSTOCK.IMPRIMIR_VISTA


































































































PREVIA1.EXCEL.CLICK
29-05-2024 13:04:54 , Error: PARENT no es un objeto. Linea : IF NOT this.Parent.esreporteexcel Error :       1924 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B6104YI.TMP Ultimo Control activo

































































































:  SUBSTOCK.IMPRIMIR_VISTAPREVIA1.EXCEL.CLICK
29-05-2024 13:06:55 , Informe por excel
29-05-2024 13:07:03 , Version 16.0
30-05-2024 16:32:27 , Verificando Licencia
30-05-2024 16:33:24 , Informe por excel
30-05-2024 16:33:30 , Version 16.0
30-05-2024 16:35:38 , Informe por excel
30-05-2024 16:35:40 , Version 16.0
30-05-2024 17:47:33 , Verificando Licencia
30-05-2024 17:48:18 , Informe por excel
30-05-2024 17:48:22 , Version 16.0
11-06-2024 19:07:05 , Verificando Licencia
11-06-2024 19:08:05 , Error: El archivo 'csrauxbuscar.dbf' no existe. Linea : SELECT *,DATETIME() as FecActu FROM CsrAuxBuscar INTO CURSOR CsrBusProd READWRITE Error :          1 Ultimo Alias Activo: CSRUBICACION Ultimo registro:          1  DBF: C:\USER



























































































S\MARCOS\APPDATA\LOCAL\TEMP\00006I2X00DR.TMP Ultimo Control activo:  REGFACVTA.CONTAINERINGRESO._TXTLOSTFOCUS.GOTFOCUS
11-06-2024 19:08:14 , Verificando Licencia
11-06-2024 19:09:43 , Verificando Licencia
12-06-2024 08:16:39 , Verificando Licencia
12-06-2024 09:02:35 , Verificando Licencia
12-06-2024 09:04:10 , Informe por excel
12-06-2024 09:04:12 , Version 16.0
12-06-2024 09:05:07 , Informe por excel
12-06-2024 09:05:07 , Version 16.0
12-06-2024 09:06:48 , Informe por excel
12-06-2024 09:06:49 , Version 16.0
12-06-2024 09:08:28 , Informe por excel
12-06-2024 09:08:28 , Version 16.0
12-06-2024 09:10:04 , Informe por excel
12-06-2024 09:10:06 , Version 16.0
12-06-2024 09:20:57 , Verificando Licencia
12-06-2024 09:35:19 , Informe por excel
12-06-2024 09:35:20 , Version 16.0
12-06-2024 09:37:24 , Informe por excel
12-06-2024 09:37:25 , Version 16.0
12-06-2024 09:38:17 , Informe por excel
12-06-2024 09:38:19 , Version 16.0
12-06-2024 09:42:35 , Informe por excel
12-06-2024 09:42:36 , Version 16.0
25-06-2024 11:41:57 , Verificando Licencia
11-07-2024 16:22:10 , Verificando Licencia
12-07-2024 12:13:13 , Verificando Licencia
12-07-2024 12:15:29 , Genero codigo QR
17-07-2024 15:57:52 , Error: El entorno de datos ya está descargado. Linea : DO FORM configbd Error :       1967 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  MAIN
17-07-2024 15:58:14 , Verificando Licencia
17-07-2024 16:12:44 , Verificando Licencia
22-07-2024 12:10:27 , Verificando Licencia
22-07-2024 12:11:14 , Verificando Licencia
23-07-2024 09:55:19 , Verificando Licencia
23-07-2024 10:11:05 , Verificando Licencia
23-07-2024 10:17:36 , Verificando Licencia
23-07-2024 15:56:21 , Error: No se encuentra el alias. Linea : oavisar.proceso('S','Calculando precios.....'+STR(RECCOUNT('FsrArticulo'))) Error :         13 Ultimo Alias Activo: CSRSUBTITULO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCA













































































L\TEMP\0000BCW904BW.TMP Ultimo Control activo:  CBIOPRECIO_FILE.CMDTEMP.CLICK
23-07-2024 17:20:38 , Verificando Licencia
31-07-2024 17:50:33 , Verificando Licencia
31-07-2024 17:54:05 , Verificando Licencia
31-07-2024 17:55:01 , Error: LBLCOTIDOLARCTACTE es un miembro desconocido. Linea : ThisForm.LblCotidolarCtacte.Caption = '$ ' + STR(ThisForm.Cotidolar,11,2) Error :       1925 Ultimo Alias Activo: CSRAUXPRECIO Ultimo registro:          1  DBF: C:\USERS\M









































































ARCOS\APPDATA\LOCAL\TEMP\0000NEO900QL.TMP Ultimo Control activo: ENDOLAR ABMPRODUCTO.CONTENEDOR1.PFRAME1.PAGE1.GRID1.COLUMN2.TEXT1.KEYPRESS
01-08-2024 09:15:53 , Verificando Licencia
01-08-2024 09:31:53 , Verificando Licencia
01-08-2024 10:04:20 , Error: PREVIEWFORM es un miembro desconocido. Linea : ... Error :       1925 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  REGFACVTA.BOTONERACABEZA.CMDRESUMEN.CLICK
05-08-2024 18:17:15 , Verificando Licencia
06-08-2024 09:49:28 , Verificando Licencia
06-08-2024 09:51:58 , Verificando Licencia
06-08-2024 18:14:28 , Verificando Licencia
06-08-2024 19:16:15 , Verificando Licencia
08/06/24 19:16:29 , Error: No se encuentra el alias 'CSRLOCALIDAD'. Linea : this.controlsource=this.parent.controlsourcetxtid Error :         13 Ultimo Alias Activo: CSRLISTAPRECIO Ultimo registro:          4 ID DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00






































































00N5E1002D.TMP Ultimo Control activo:  ABMCTACTE.CONTENEDOR1.PFRAME1.PAGE1.C_DOM.KITBUSCAOALTAENLOCALIDAD.TXTID.INIT
06-08-2024 19:16:51 , Verificando Licencia
06-08-2024 19:32:31 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : .ve_condicion(!this.validarcodigo(LTRIM(CsrCtacte.cnumero),this.odata1.cnomtabla,"cnombre","cnumero",CsrCtacte.id,@cResultado),"El código pertenece a




































































  "+cResultado+"...") Error :         11 Ultimo Alias Activo: CSRCUERRUTA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LIX5002Q.TMP Ultimo Control activo:  ABMCTACTE.CMDSALVAR.CLICK
06-08-2024 19:32:42 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : replace codigo WITH VAL(CsrCtacte.cnumero) IN CsrCtacte Error :         11 Ultimo Alias Activo: CSRCUERRUTA Ultimo registro:          1  DBF: C:\USER



































































S\MARCOS\APPDATA\LOCAL\TEMP\0000LIX5002Q.TMP Ultimo Control activo:  ABMCTACTE.CMDSALVAR.CLICK
06-08-2024 19:37:45 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : lccmd=lcfrom + " where "+ALLTRIM(lccampoindice)+"= '"+ALLTRIM(STR(this.txtexiste1.value))+"'" Error :         11 Ultimo Alias Activo: CSRLOCALIDAD Ul


































































timo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LIX500B3.TMP Ultimo Control activo:  ABMCTACTE.CONTENEDOR1.PFRAME1.PAGE1.C_DOM.KITBUSCAOALTAENLOCALIDAD.GOTFOCUS
06-08-2024 19:38:00 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : IF VAL(this.Value)#0 Error :         11 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  ABMCTACTE.CONTENEDOR1.PFRAME

































































1.PAGE1.C_DOM.KITBUSCAOALTAENLOCALIDAD.GOTFOCUS
06-08-2024 19:38:03 , Error: No se encuentra el alias 'CSRLOCALIDAD'. Linea : LOCATE FOR id = CsrLocalidad.idprovincia Error :         13 Ultimo Alias Activo: CSRPROVINCIA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LIX50017.
































































TMP Ultimo Control activo: IDPROVINCIA ABMCTACTE.CONTENEDOR1.PFRAME1.PAGE1.C_DOM._CBOPROVINCIA.GOTFOCUS
06-08-2024 19:38:16 , Verificando Licencia
06-08-2024 19:38:55 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : .ve_condicion(!this.validarcodigo(LTRIM(CsrCtacte.cnumero),this.odata1.cnomtabla,"cnombre","cnumero",CsrCtacte.id,@cResultado),"El código pertenece a































































  "+cResultado+"...") Error :         11 Ultimo Alias Activo: CSRCUERRUTA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LIX500DU.TMP Ultimo Control activo:  ABMCTACTE.CMDSALVAR.CLICK
06-08-2024 19:39:01 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : replace codigo WITH VAL(CsrCtacte.cnumero) IN CsrCtacte Error :         11 Ultimo Alias Activo: CSRCUERRUTA Ultimo registro:          1  DBF: C:\USER






























































S\MARCOS\APPDATA\LOCAL\TEMP\0000LIX500DU.TMP Ultimo Control activo:  ABMCTACTE.CMDSALVAR.CLICK
06-08-2024 19:39:25 , Verificando Licencia
06-08-2024 19:45:28 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : .ve_condicion(!this.validarcodigo(LTRIM(CsrCtacte.cnumero),this.odata1.cnomtabla,"cnombre","cnumero",CsrCtacte.id,@cResultado),"El código pertenece a





























































  "+cResultado+"...") Error :         11 Ultimo Alias Activo: CSRCUERRUTA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LIX500O7.TMP Ultimo Control activo:  ABMCTACTE.CMDSALVAR.CLICK
07-08-2024 09:51:46 , Informe por excel
07-08-2024 09:51:53 , Version 16.0
07-08-2024 09:55:53 , Informe por excel
07-08-2024 09:55:54 , Version 16.0
07-08-2024 09:59:18 , Verificando Licencia
07-08-2024 10:02:37 , Informe por excel
07-08-2024 10:02:38 , Version 16.0
07-08-2024 10:13:47 , Informe por excel
07-08-2024 10:13:48 , Version 16.0
07-08-2024 10:15:58 , Informe por excel
07-08-2024 10:16:01 , Version 16.0
07-08-2024 10:20:41 , Informe por excel
07-08-2024 10:20:43 , Version 16.0
07-08-2024 10:22:49 , Informe por excel
07-08-2024 10:22:51 , Version 16.0
07-08-2024 10:26:28 , Informe por excel
07-08-2024 10:26:29 , Version 16.0
07-08-2024 10:32:27 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : lccmd=lcfrom + " where "+ALLTRIM(lccampoindice)+"= '"+ALLTRIM(STR(this.txtexiste1.value))+"'" Error :         11 Ultimo Alias Activo: CSRLOCALIDAD Ul
























































timo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000QPS9011E.TMP Ultimo Control activo:  ABMCTACTE.CONTENEDOR1.PFRAME1.PAGE1.C_DOM.KITBUSCAOALTAENLOCALIDAD.GOTFOCUS
07-08-2024 10:32:44 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : IF VAL(this.Value)#0 Error :         11 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  ABMCTACTE.CONTENEDOR1.PFRAME























































1.PAGE1.C_DOM.KITBUSCAOALTAENLOCALIDAD.GOTFOCUS
07-08-2024 10:33:53 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : lccmd=lcfrom + " where "+ALLTRIM(lccampoindice)+"= '"+ALLTRIM(STR(this.txtexiste1.value))+"'" Error :         11 Ultimo Alias Activo: CSRLOCALIDAD Ul






















































timo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000QPS90192.TMP Ultimo Control activo:  ABMCTACTE.CONTENEDOR1.PFRAME1.PAGE1.C_DOM.KITBUSCAOALTAENLOCALIDAD.GOTFOCUS
07-08-2024 11:17:29 , Informe por excel
07-08-2024 11:17:31 , Version 16.0
07-08-2024 11:24:38 , Informe por excel
07-08-2024 11:24:40 , Version 16.0
07-08-2024 11:32:48 , Informe por excel
07-08-2024 11:32:49 , Version 16.0
07-08-2024 11:38:20 , Informe por excel
07-08-2024 11:38:22 , Version 16.0
07-08-2024 11:42:28 , Informe por excel
07-08-2024 11:42:30 , Version 16.0
07-08-2024 11:46:27 , Informe por excel
07-08-2024 11:46:31 , Version 16.0
07-08-2024 11:50:04 , Informe por excel
07-08-2024 11:50:05 , Version 16.0
09-08-2024 17:31:19 , Error: El entorno de datos ya está descargado. Linea : DO FORM configbd Error :       1967 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  MAIN
09-08-2024 17:33:17 , Verificando Licencia
27-08-2024 09:03:20 , Verificando Licencia
27-08-2024 09:04:02 , Verificando Licencia
08/27/24 09:04:45 , Error: El archivo 'csrseteoparam.dbf' no existe. Linea : SELECT CsrSeteoParam.*,0  as estado FROM CsrSeteoParam WHERE RECNO()<1 INTO CURSOR CsrAuxParametros READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          

















































0  DBF:  Ultimo Control activo:  REGPARAMETROS.LOAD
27-08-2024 09:06:31 , Verificando Licencia
27-08-2024 09:07:51 , Verificando Licencia
27-08-2024 09:16:55 , Error: PRECIOPROD1 es un miembro desconocido. Linea : this.precioprod1.cfprecioagregado() Error :       1925 Ultimo Alias Activo: CSRPARAVARIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LRM100JS.TMP Ult















































imo Control activo:  CBIOPRECIO_FILE.CMDACEPTAR.CLICK
27-08-2024 09:17:10 , Error: PRECIOPROD1 es un miembro desconocido. Linea : this.precioprod1.cfprecioagregado() Error :       1925 Ultimo Alias Activo: CSRPARAVARIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LRM100JS.TMP Ult














































imo Control activo:  CBIOPRECIO_FILE.CMDACEPTAR.CLICK
27-08-2024 09:21:15 , Error: PRECIOPROD1 es un miembro desconocido. Linea : this.precioprod1.cfprecioagregado() Error :       1925 Ultimo Alias Activo: CSRPARAVARIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LRM100P4.TMP Ult













































imo Control activo:  CBIOPRECIO_FILE.CMDACEPTAR.CLICK
27-08-2024 09:22:39 , Error: PRECIOPROD1 es un miembro desconocido. Linea : this.precioprod1.cfprecioagregado() Error :       1925 Ultimo Alias Activo: CSRPARAVARIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LRM100SZ.TMP Ult












































imo Control activo:  CBIOPRECIO_FILE.CMDACEPTAR.CLICK
27-08-2024 09:38:17 , Error: No se encuentra el alias 'CSRAUXPRODUCTO'. Linea : SELECT CsrAuxProducto Error :         13 Ultimo Alias Activo: CSRAUXCBIOPRECIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LRM10IYS.TMP Ultimo Co











































ntrol activo:  CBIOPRECIO_FILE.CMDPROCESAR.CLICK
27-08-2024 09:38:35 , Error: No se encuentra el alias 'CSRAUXPRODUCTO'. Linea : SELECT CsrAuxProducto Error :         13 Ultimo Alias Activo: CSRAUXCBIOPRECIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000LRM10J1L.TMP Ultimo Co










































ntrol activo:  CBIOPRECIO_FILE.CMDPROCESAR.CLICK
27-08-2024 10:47:04 , Verificando Licencia
28-08-2024 10:45:02 , Verificando Licencia
28-08-2024 19:11:18 , Verificando Licencia
28-08-2024 19:11:51 , Verificando Licencia
28-08-2024 19:12:04 , Error: No se encuentra el alias 'CSRMARGEN_MR'. Linea : this.controlsource=this.parent.controlsourcetxtid Error :         13 Ultimo Alias Activo: CSRMARCA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000F6RT








































4XO9.TMP Ultimo Control activo:  ABMMARGEN_MR.CONTENEDOR1.PFRAME1.PAGE1.KITBUSCAOALTAENHIJO.TXTID.INIT
28-08-2024 19:12:29 , Verificando Licencia
28-08-2024 19:13:37 , Error: No se encuentra el alias 'CSRMARGEN_MR'. Linea : this.controlsource=this.parent.controlsourcetxtid Error :         13 Ultimo Alias Activo: CSRMARCA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000F6RT







































4XSM.TMP Ultimo Control activo:  ABMMARGEN_MR.CONTENEDOR1.PFRAME1.PAGE1.KITBUSCAOALTAENHIJO.TXTID.INIT
28-08-2024 19:15:09 , Verificando Licencia
28-08-2024 19:15:39 , Error: No se encuentra el alias 'CSRMARGEN_MR'. Linea : this.controlsource=this.parent.controlsourcetxtid Error :         13 Ultimo Alias Activo: CSRMARCA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000F6RT






































4XW4.TMP Ultimo Control activo:  ABMMARGEN_MR.CONTENEDOR1.PFRAME1.PAGE1.KITBUSCAOALTAENHIJO.TXTID.INIT
28-08-2024 19:15:51 , Verificando Licencia
28-08-2024 19:18:08 , Error: Debe especificar parámetros adicionales. Linea : PARAMETERS nidMarca,nidRubro Error :         94 Ultimo Alias Activo: CSRMARGEN_MR Ultimo registro:         -1 NOMBRE DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000F6RT4Y0W.TMP Ul





































timo Control activo:  ABMMARGEN_MR.CMDSALVAR.CLICK
28-08-2024 19:20:39 , Error: No se encuentra la variable 'NOMBRE'. Linea : this.Parent._txtnombre.Value = Rtrim(CsrCtaCte.nombre) Error :         12 Ultimo Alias Activo: CSRMARGEN_MR Ultimo registro:         -1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00




































00F6RT4Y72.TMP Ultimo Control activo: PORCELISTA ABMMARGEN_MR.CONTENEDOR1.PFRAME1.PAGE1._TXTPORCELISTA.GOTFOCUS
28-08-2024 19:50:03 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : lok = MESSAGEBOX(lcmensaje,lnopcion,'INFORMACION AL USUARIO',ntimeout) Error :         11 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ul



































timo Control activo:  ABMMARGEN_MR.CMDSALVAR.CLICK
28-08-2024 19:55:31 , Verificando Licencia
29-08-2024 15:50:33 , Verificando Licencia
29-08-2024 15:52:40 , Error: No se encuentra el alias. Linea : IF RECCOUNT('CsrMArgen_mr')#0 Error :         13 Ultimo Alias Activo: CSRAUXPRECIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000RKSP008P.TMP Ultimo Control activo:


































 COSTOCIVA ABMPRODUCTO.CONTENEDOR1.PFRAME1.PAGE1.GRID1.COLUMN2.TEXT1.KEYPRESS
29-08-2024 15:54:57 , Error: No se encuentra el alias. Linea : IF RECCOUNT('CsrMArgen_mr')#0 Error :         13 Ultimo Alias Activo: CSRAUXPRECIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000RKSP00JK.TMP Ultimo Control activo:

































 COSTOCIVA ABMPRODUCTO.CONTENEDOR1.PFRAME1.PAGE1.GRID1.COLUMN2.TEXT1.KEYPRESS
29-08-2024 15:55:19 , Error: No se encuentra el alias. Linea : IF RECCOUNT('CsrMArgen_mr')#0 Error :         13 Ultimo Alias Activo: CSRAUXPRECIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000RKSP00RH.TMP Ultimo Control activo:
































 COSTOCIVA ABMPRODUCTO.CONTENEDOR1.PFRAME1.PAGE1.GRID1.COLUMN2.TEXT1.KEYPRESS
29-08-2024 16:03:34 , Error: No se encuentra el alias ''. Linea : SELECT(lcAliasActual) Error :         13 Ultimo Alias Activo: CSRTIPOIVA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000RKSP01SB.TMP Ultimo Control activo: COSTOC































PRA ABMPRODUCTO.CONTENEDOR1.PFRAME1.PAGE1.GRID1.COLUMN2.TEXT1.KEYPRESS
29-08-2024 16:05:30 , Error: No se encuentra el alias ''. Linea : SELECT(lcAliasActual) Error :         13 Ultimo Alias Activo: CSRTIPOIVA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000RKSP026S.TMP Ultimo Control activo: COSTOC






























PRA ABMPRODUCTO.CONTENEDOR1.PFRAME1.PAGE1.GRID1.COLUMN2.TEXT1.KEYPRESS
29-08-2024 17:09:19 , Error: No se encuentra el alias. Linea : IF RECCOUNT(lcaliasseek)#0 Error :         13 Ultimo Alias Activo: CSRPARAVARIO Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000RKSP04KD.TMP Ultimo Control activo:  P





























ARAVARIO_STOCK.CONTAINERENCABEZA.PFRAME1.PAGE1.C_GRAL.KITBUSCAOALTAENMARCA.TXTEXISTE1.INIT
29-08-2024 17:11:12 , Verificando Licencia
29-08-2024 17:15:24 , Error: No se encuentra el alias. Linea : Oca = GETCURSORADAPTER(lcalias) Error :         13 Ultimo Alias Activo: CSRMARCA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000RKSP04N4.TMP Ultimo Control activo:  




























PARAVARIO_STOCK.CONTAINERENCABEZA.PFRAME1.PAGE1.C_GRAL.KITBUSCAOALTAENMARCA.BOTONLLAMARABM1.CLICK
29-08-2024 17:15:45 , Error: El archivo 'j:\xsoftsql\proyectos\comercial\abmmarca.scx' no existe. Linea : DO FORM &lcabm WITH lcid,.t. TO lcidtabla Error :          1 Ultimo Alias Activo: CSRMARCA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA



























\LOCAL\TEMP\0000RKSP04PV.TMP Ultimo Control activo:  PARAVARIO_STOCK.CONTAINERENCABEZA.PFRAME1.PAGE1.C_GRAL.KITBUSCAOALTAENMARCA.BOTONLLAMARABM1.CLICK
