CodigoArticulo;DescripcionArticulo;Anulado;UnidadesXBulto;ValorUMedida;Pesable
2923;LECHE NUTRILON PROFUTURA 3 X1000ML;NO;6;0;SI
516;YOGURISIMO ENT FIR MPACK X250G;NO;24;0;SI
650;ACTIVIA BEBIBLE O % BOT 185 GS;NO;35;0;SI
963;LECHE EN POLVO LS ENT X200GS;NO;40;0;SI
966;LECHE EN POLVO LS DESC X200GS;NO;40;0;SI
160;QUESO LS CREMON HORMA X3KG;NO;6;0;NO
652;POSTRE STO C/CER. DEPORL 117 G;NO;20;0;SI
930;POSTRE DANETTE PACK X 4 460G;NO;12;0;SI
7650;ACTIVIA BEBIBLE 0% BOTELLA 190;NO;35;0;SI
108;LECHE LS ENT F/CAL+VIT ACD SAC 1 L.;NO;16;0;SI
268;ACTIVIA C/COLCHON POTE 180GS;NO;20;0;SI
982;ACTIPULSERA LANZADISCOS;NO;1;0;SI
816;DISPENCER SOPA INSTAN SER 99GR;NO;12;0;SI
2;LECHE LA RODRIGUENSE U/ENT 1L.;NO;16;0;SI
109;LECHE DESCREMADA FORT/ S X 1 L;NO;16;0;SI
9902;YOGUR SER  CALC + FFS  POTE 120GS;NO;48;0;SI
169;YOGURISIMO FORT ENT SACHET 1300 GR;NO;12;0;SI
7;LECHE FORTUNA UAT DESC/E.C.1L;NO;12;0;SI
223;ACTIVIA FIRME POTE 115 GS;NO;20;0;SI
367;QUESO LS PATEGRAS HORMA X4KG;NO;1;0;NO
7223;CINDOR SIN CARGO 1 LITRO;NO;12;0;SI
958;YOGURISIMO ENT. C/FRUT.P.150GS;NO;20;0;SI
237;SALCHICHA GJA IRIS JUNIORS X6UNID;NO;20;0;SI
951;POSTRE SERENITO MACACO P. X250;NO;24;0;SI
190;QUESO LS CREMON FRACC X500GS;NO;24;0;NO
238;SALCHICHA GI VIENA X 24 UNID.;NO;12;0;SI
3623;LECHE LS UAT DESCREM C/FE 1% BRIK 1L;NO;12;0;SI
3608;KINDER SORP ERA DEL HIELO 48 U X 960GS;NO;1;0;SI
240;YOGURISIMO ENT.BAT.POTE 120 GS;NO;20;0;SI
840;TIRA SOPA INSTANTANEA  66 GS.;NO;0;0;SI
1;TEJO GRATIS;NO;1;0;SI
736;QUESO FINLANDIA LIGHT CAPRESE;NO;24;0;SI
459;QUESO LS P/SALUT LIG UNT.P.200;NO;24;0;SI
743;QUESO LS PROVOLONE FRACC X 300;NO;16;0;NO
3;OJOTAS GRATIS;NO;0;0;SI
691;MANTECA UNTABLE LS EXTRA P.200;NO;24;0;SI
193;ALIM LACT DANONINO C/CER  120G;NO;20;0;SI
418;QUESO LS SARDO 1/2 HORMA 1.75G;NO;1;0;NO
933;LECHE LS L.V. FOT/ENT/CAL X 1L;NO;12;0;SI
702;POSTRE STO MAGICO POTE 118 GS;NO;20;0;SI
765;MOZZARELLA CILINDRO  X2KG;NO;9;0;NO
111;ALIMENTO LS SEREMIX X1KG;NO;17;0;SI
488;QUESO LS PORT SALUT HORMA 3 KG;NO;6;0;NO
985;QUESO LS ROMANO FRAC.X 320 GS;NO;16;0;NO
72;QUESO BARRA LS HORMA 3.5 KG;NO;3;0;NO
954;QUESO LS GOUDA X 4.2 KGS;NO;1;0;NO
2297;VITAL FRUTAPURA BAN-MANZ X 400;SI;6;0;SI
2310;VITAL FRUTAPURA PERA-MAN X 400;SI;6;0;SI
2327;VITAL FRUTAPURA MANZ X 400 GRS;SI;6;0;SI
947;ALIM LS LECHE Y JUGO UAT B.X1L;NO;12;0;SI
447;QUESO LS GOUDA LIGHT FRAC 340G;NO;24;0;NO
154;QUESO LS ROMANO 1/2 HORMA;NO;1;0;NO
4433;PROMO SOPAS 10+1 S/CARGO;NO;0;0;SI
296;QUESO LS RALLADO X 250 GS.;NO;45;0;SI
212;QUESO LS CHEDDAR FETDO X180GS;NO;12;0;SI
3714;QUESO LS FINLANDIA  CAMEMBERT NAT X200GS;NO;20;0;SI
123;CREMA DOBLE LS PAST X 200 CM3;NO;24;0;SI
487;QUESO LS DAMBO LIGHT FET X200GS;NO;12;0;SI
141;POSTRE STO BAKUGAN C/C P.118GS;NO;20;0;SI
921;SER DESCREMADO SACHET X 900 GS;NO;16;0;SI
521;ACTIMEL 0% PACK X 8 UNIDADES;SI;6;0;SI
334;SOPA INSTANTANEA SER X 44 GS.;NO;28;0;SI
767;QUESO LS FINLA LIHGT JAM/PAR X200GS;NO;24;0;SI
1418;QUESO LS SARDO 1/2 HRM  X1,75KG;NO;1;0;NO
3465;LECHE 04 VITAL INFANTIL X200ML;NO;30;0;SI
124;MANTECA LS EXT/VIT X 200 GS;NO;10;0;SI
2941;LECHE E/P VITAL INFANTI 3X225G;NO;12;0;SI
2927;LECHE E/P VITAL INFANTI 1X212G;NO;12;0;SI
2934;LECHE E/P VITAL INFANTI 2X225G;NO;12;0;SI
509;CAPPUCCINO LS-CABRALES UAT 200;NO;24;0;SI
553;YOGUR SER BALANCE FFSX2;NO;24;0;SI
2303;VITAL INFANTIL FRUTAPURA X 400;SI;24;0;SI
713;QUESO LS PORT SALT PROB X 1 KG;NO;18;0;NO
749;QUESO LS CREMOSO PROBIO X 1 KG;NO;18;0;NO
751;QUESO LS CREMON DOBLE PRO 1 KG;NO;18;0;NO
755;QUESO LS CREMOSO PROBIO 450 GS;NO;24;0;NO
760;QUESO LS PORT SALUT FRACC X500GS;NO;24;0;NO
761;QUESO LS POR SALUT LIGHT X500GS;NO;24;0;NO
768;QUESO LS P SALUT LIGHT PR 1 KG;NO;18;0;NO
55;MANTECA ARMONIA CAL/EXT X 200G;NO;10;0;SI
709;QUESO LS HOLANDA FRACC X340GS;NO;24;0;NO
199;CHOCOLATADA CINDOR MIX P.X150G;NO;24;0;SI
200;CHOCOLATADA CINDOR MIX P.X300G;NO;20;0;SI
519;YOGURISIMO GO EDIC.ESP.X200CM3;NO;35;0;SI
6029;YOGURISIMO ESTILOGRIEGO X 125GR;NO;12;0;SI
520;ACTIVIA C/COMPOTA POTE 140 GRS;NO;20;0;SI
7146;CINDOR E/P X 150 GS GRATIS;NO;150;0;SI
914;LECHE GREAT VALUE U/ENT FOR 1L;NO;16;0;SI
554;VASO PROMO YOGURISIMO;NO;1;0;SI
555;BOWL PROMO YOGURISIMO;NO;1;0;SI
87;ALIM SER LECHE Y JUG SQU X500C;NO;32;0;SI
2662;PROMO ONPACK NUTRILON 2 X 200M;SI;0;0;SI
2679;PROMO ONPACK NUTRILON 3 X 200M;SI;0;0;SI
2709;VITAL 3X900+2 VITAL3 BAN3X200;SI;0;0;SI
979;YOGURISIMO FIRMA PACK 6 X 750G;NO;8;0;SI
884;SER DELICIOSO PACK 6 X 750 GS;NO;8;0;SI
980;YOGUR SER C/CEREAL KORN X163GS;NO;20;0;SI
6984;YOGURISIMO CREMIX PACK X6 750S;NO;8;0;SI
811;JUEGO DEL SABOR LS PRIMAVERA;NO;1;0;SI
83;LECHE SER U/DESC/ C/FIBRA 500C;NO;32;0;SI
638;QUESO FINDIA LS LIHG HIERB 200;NO;24;0;SI
818;QUESO CASAMCREM ENTERO 200GR;NO;12;0;SI
828;QUESO CASANCREM LIGHT 200GR;NO;12;0;SI
892;LECHE CINDOR EXTRA 1L;NO;12;0;SI
583;CAPPUCCINO LS CABRAL L/S X 200;NO;24;0;SI
807;POSTRE SERENITO C/JALEA 210 GS;NO;24;0;SI
906;BOLSA POSTRE DANETTE PACK 380G;NO;18;0;SI
363;BOLSA YOGURISIMO GO 3 X 185 GS;NO;11;0;SI
414;ACTIMEL PACK  MULTIF 1200 GR.;NO;4;0;SI
513;ACTIMEL 0% PACK 1200 GRS.;NO;4;0;SI
2846;LECHE NUTRILON PREMIUN 2 X200M;SI;30;0;SI
2943;LECHE 1 NUTRILON PROFUTURA X200M;NO;30;0;SI
929;ACTIVIA SACHET X 1.050 GS;NO;15;0;SI
870;QUESO CREMA CASAMCREM P. 480GS;NO;12;0;SI
871;QUESO CREMA CASANCREM LIGH 480;NO;12;0;SI
308;DULCE DE LECHE ACTUAL P. 400GS;NO;12;0;SI
507;YOGUR SER CALCIO + SACHET FRUT;NO;20;0;SI
2922;LECHE 3 NUTRILON PROFUTURA X200ML;NO;30;0;SI
953;ALIMENTO LACTEO ACTIVIA P.190G;NO;36;0;SI
3021;KINDER CHOC. MAXI 10 X 210 GS.;NO;28;0;SI
3038;TIC TAC CER-MARA 12 EST. 192GS;NO;24;0;SI
3094;KINDER SORP T 48 UNID X 960 GS;NO;1;0;SI
3121;FERRERO ROCHER DISP 16 X 200GS;NO;16;0;SI
3244;KINDER SORPRESA LUI/LEI  T 24 UNID 480G;NO;8;0;SI
3314;TIC TAC MENTA ESTUCHES 192 GS;NO;24;0;SI
3321;L. MODIFICADA E/POLV FORTUNA B.X800GR;NO;12;0;SI
3407;TIC TAC TORMENTA 12 EST.192G;NO;24;0;SI
3527;KINDER CHOCOL ESTUC 10 UNID 50G;NO;16;0;SI
2778;LECHE NUTRILON PREMIUN 1 L800G;NO;12;0;SI
2785;LECHE NUTRILON PREMIUN 2 L800G;NO;12;0;SI
2911;LECHE NUTRILON PROFUTURA 4 X1000ML;NO;6;0;SI
46;SERENITO CRASH PACK X 200GS;NO;24;0;SI
365;QUESO LS CHUBUT BARRA X3KG;NO;3;0;NO
609;QUESO LS CHUBUT FRACC X500GS;NO;24;0;NO
993;YOGUR SER C/CEREAL POTE  165GS;NO;20;0;SI
6231;YOGUR SER F/DESC SACHET 1100GS;NO;15;0;SI
9903;YOGUR CALCIO + PACK 480GR;NO;12;0;SI
408;YOGUR GRIEGO PACK 200 GRS;NO;24;0;SI
219;QUESO LS RALLADO X80GS;NO;112;0;SI
706;QUESO LS CHEDDAR BARRA X2KG;NO;9;0;SI
256;LECHE LS +4 AÑOS U/ENT SAC 1L.;NO;16;0;SI
6957;YOGURISIMO CREMIX SAB P. 480GS;NO;12;0;SI
677;QUESO LS FINLANDIA CHEDDAR X200GS;NO;24;0;SI
707;LECHE LS FIBRA ULTRA DESC. SQ 1 L.;NO;16;0;SI
134;FLAN SERENITO PACK X 200 GS;NO;24;0;SI
534;CAPUCCINO LS-CABRALES UAT BRICK 1 L;NO;12;0;SI
2914;VITAL INFANTIL  VITAFE 1  X 800 GS;NO;12;0;SI
2921;VITAL INFANTIL VITAFE  2  X 800 GS;NO;12;0;SI
2938;VITAL INFANTIL VITAFE  3  X  800 G;NO;12;0;SI
1666;VIDACOL PACK X 400 GS;NO;12;0;SI
175;LECHE LS +4 AÑOS UAT ENTERA BRICK 1 L;NO;12;0;SI
1128;RICOTA GARCIA ENTERA X 500 GS;NO;18;0;SI
3459;KINDER JOY C/SORPRESA 48 UNID 960 GRS;NO;1;0;SI
446;DCE LS DE LECHE CLASICO X400GS;NO;12;0;SI
254;QUESO LS GRANA PAMPEANO  310 GS;NO;16;0;NO
226;QUESO LS GRANA PAMPEANO 1/4 HORMA 1.7 KS;NO;0;0;NO
915;LECHE GREAT VALUE ULTRA DESC X 1 L;NO;16;0;SI
4034;POSTRE SERENITO GRATIS;NO;20;0;SI
4075;VIDACOL GRATIS;NO;6;0;SI
4612;COPA CINDOR GRATIS;NO;20;0;SI
229;ACTIVIA SACHET 1100 GRS;NO;15;0;SI
272;QUESO LS DAMBO BARRA X3,5KG;NO;3;0;NO
1213;PROMO VELAS;NO;80;0;SI
125;YOGURISIMO ENT C/FRUTA POTE 180 GS;NO;20;0;SI
1003;HERMETICO MEDIA + 2 PACK CACI;NO;0;0;SI
1004;HERMETICO MEDI + 2 PACK ACTIV;NO;0;0;SI
1007;HERMETICO GRANDE + 2 SACHET ACTIV;NO;0;0;SI
425;ACTIVIA BATIDO ENTERO X 500 GS;NO;12;0;SI
3360;LECHE LS UAT P. DES/FOT  CARDIO PET X1L;NO;6;0;SI
3361;LECHE LA ARMONIA 12 LITROS GRATIS;NO;1;0;SI
510;ACTIVIA FIBRABALANCE PACK X 500 GS;NO;12;0;SI
3362;LECHE ARMONIA UAT P.DESC 2% X1L;NO;12;0;SI
661;QUESO LS FINLANDIA LIGH GRUY X200GS;NO;24;0;SI
3067;HUEVO DE PASCUA  X 150 GS;NO;6;0;SI
3664;HUEVO DE PASCUA MAGIC X 125 GS;NO;6;0;SI
3080;PACK FERRERO + SELFIE STICK;NO;1;0;SI
3559;KINDER SORPRESA NATOONS 48 UNI. X 960 GS;NO;8;0;SI
9971;YOGUR SER C/CEREALES CHOC. 164 GS;NO;20;0;SI
3653;QUESO LS RALLADO GRA.PAMP. X100 GS;NO;30;0;SI
1008;VIDACOL PACK 480 GR MANGO DURAZNO;NO;8;0;SI
735;QUESO LS REGGIANITO 7 M. 310 GS;NO;16;0;NO
1106;YOGUR SER FIRME POTE 190GR;NO;20;0;SI
5012;YOGURISIMO FIRME FORT X190GS;NO;20;0;SI
1289;SALCHICHA GJA IRIS LIGHT PAQ X 3 U.;NO;50;0;SI
3817;TIC TAC FRUTILLA 12 EST X 192 GS;NO;24;0;SI
314;QUESO LS CREMON PROC  UNTABLE P. 200GS;NO;24;0;SI
1288;SALCHICHA GJA IRIS  X10+2UNID;NO;10;0;SI
1011;YOGUR GRIEGO X 100 GS ARANDANO;NO;48;0;SI
837;ACTIVIA BATIDO ENT PACK 500 GRS;NO;12;0;SI
5038;KINDER CHOCOLATE T1 DISP 24 U. X 12.50G;NO;8;0;SI
348;LECHE LS CRECER 1 A 3 AÑOS X  1 L.;NO;12;0;SI
847;MORTADELA GJA IRIS FLIAR X300GS;NO;30;0;SI
3619;KINDER SORP MADAGASCAR 24 UNI S 504GS;NO;24;0;SI
10006;KINDER SORP MADAGASCAR 48 UNI X 1008G;SI;24;0;SI
3784;KINDER CHOCOLATE 10 EST X 500 GS;NO;0;0;SI
499;YOGUR SER COLCHON FRU-MOR C/CER 173G;NO;20;0;SI
660;QUESO CHUBUT LIGHT FRACC 500 GS;NO;12;0;NO
3886;PACK PROMO FERRERO C/BOLSO MATERO;NO;1;0;SI
1290;MORTADELA GI X3 KG + 3 UNID.X500GS;NO;2;0;SI
1508;YOGUR SACHET SIN CARGO  508;NO;16;0;SI
3466;QSO LS ESTILO PORT SALUT LIGH P.180GR;NO;24;0;SI
299;TIJERA LA SERENISIMA;NO;0;0;SI
298;VASO PLASTICO LA SERENISIMA;NO;0;0;SI
297;JARRO TERMICO LA SERENISIMA;NO;0;0;SI
986;YOGURISIMO STICK PACK 840 GS;NO;9;0;SI
1037;POSTRE DANETTE 120 GR;NO;20;0;SI
4007;MONEDA 0.50 CTVOS;NO;0;0;SI
442;YOGUR FIRME  12 S/CARGO;NO;20;0;SI
4104;SER FIRME CODIGO 104 S/CARGO;NO;20;0;SI
4801;CALCI FIRME CODIGO 801 S/CARGO;NO;20;0;SI
674;ALIMENTO LS LECHE/JUGO SQ 500 CC;NO;32;0;SI
1033;POSTRE DANETTE COPA 100 GS;NO;20;0;SI
11111;DEVOLUCION PERCEPCIONES;NO;0;0;SI
11112;POSTRE SERENITO C/CEREALES X 116 GS;NO;20;0;SI
679;QUESO FINLANDIA PROV/OLIV 200GS;NO;24;0;SI
7224;CINDOR X 250 CM SIN CARGO;NO;24;0;SI
1214;PROMO OJOTAS CINDOR;NO;0;0;SI
1216;PROMO OJOTAS C/ACTIVIA 500 GS;NO;1;0;SI
1215;PROMO TEJO;NO;1;0;SI
7095;POSTRE SERENITO VAIN. S/CARGO;NO;20;0;SI
7034;POSTRE SERENITO COMB S/CARGO;NO;20;0;SI
1026;POSTRE SERENITO C/GALLET 116S;NO;20;0;SI
120;BOLSA YOGURI FIRME 3 X 190GS;NO;6;0;SI
417;LECHE LS ULTRA DESC E/CALCIO DHA SQ 1L;NO;16;0;SI
188;LECHE LS ULTRA ENTERE E/CALCIO DHA SAC1L;NO;16;0;SI
416;LECHE LS ULTRA ENTERA E/CALCIO DHA SQ 1L;NO;16;0;SI
189;LECHE LS ULTRA DESC E/CALCIO DHA SAC 1L;NO;16;0;SI
3923;PACK INTRODUCCION FERRERO;NO;0;0;SI
7423;YOGU FORT ENT SACHET 1300GS S/CARGO;NO;12;0;SI
7012;YOGURISIMO FIRME FORT 190GS S/CARGO;NO;20;0;SI
3821;HUEVO PASCUA KINDER LEI 6U 900GS;NO;6;0;SI
3838;HUECO PASCUA KINDER LUI 6U 900GS;NO;6;0;SI
7135;YOGURISIMO C/CEREALES 166GS S/CARGO;NO;20;0;SI
7371;CASANCREM POTE 300G S/CARGO;NO;12;0;SI
7515;YOG.ENTERO  SACHET 1.L S/CARGO;NO;15;0;SI
7957;YOG. CREMIX PACK 480 GS S/CARGO;NO;12;0;SI
3847;HUEVO PAS KINDER PONY 8U X 800G;NO;8;0;SI
1017;POSTRE SERENITO C/SORP 110 GS;NO;20;0;SI
7508;YOGUR SACHET X 1 L S/CARGO;NO;16;0;SI
503;PORTASACHET L.S.;NO;1;0;SI
273;POSTRE DANET PACK X 2 230GS;NO;24;0;SI
184;FLAN DANETTE CREM.PACK X2 230GS;NO;24;0;SI
117;LECHE LS ULT/ENT/CAL/VIT B SACHET 1 L;NO;16;0;SI
119;LECHE  LS DESC UP C/CAL B9 SACHET X 1L;NO;16;0;SI
932;FLAN SERENITO FORT. PACK 2 X 210GS;NO;24;0;SI
3077;PACK PROMO FERRERO DETEC LINTER;NO;1;0;SI
1042;DCE LS DE LECHE COLONIAL X250GS;NO;12;0;SI
1123;CREMA LS PAST FUENT A-E X 200 GS;NO;24;0;SI
1449;LECHE LS DESC.F/ABD X 1 L.;NO;16;0;SI
1210;LECHE LS DESC U/FT/C.A.C 1 L.;NO;16;0;SI
1205;LECHE LSZ U/FT. HIERR A.C. Y D 1 L.;NO;16;0;SI
705;QUESO LS RALLADO BOLSA X 120 GS;NO;63;0;SI
692;QUESO LS RALLADO X200GS;NO;54;0;SI
11342;QUESO LS RALLADO BLSA X 200GS;NO;24;0;SI
1124;MANTECA LS  EXTRA CON  VIT A-E 200GS;NO;10;0;SI
1088;LECHE LS UAT ENT VIT B9 BRICK X1L;NO;12;0;SI
1085;LECHE LS UAT C/FE VIT B9 BRICK X1L;NO;12;0;SI
1345;LECHE LS ENT VIT B9 BOT X1L;NO;8;0;SI
1346;LECHE LS UAT DESC E/C VIT B9 BOT X1L;NO;8;0;SI
11343;L. POLVO LS DESC. VIT B9 EST. 400GS;NO;10;0;SI
1623;LECHE LS UAT DESC E/H VIT B9 BRICK X1L;NO;12;0;SI
1621;LECHE LS UAT DESC E/C VIT B9 BRICK X1L;NO;12;0;SI
1270;MANTECA LS EXT. CON VIT A-E X 500GS;NO;10;0;SI
1282;LECHE LS ENT C/AZU FORT B9  SLIM 200GS;NO;24;0;SI
4000;AJUSTE;NO;0;0;SI
4001;VALEPOR  50 CTVOS.;NO;0;0;SI
1966;LECHE EN POLVO LS DESC X200GS;NO;40;0;SI
9423;YOGURISIMO FORT C/H ENT S. X 1.300G.;NO;12;0;SI
6515;YOGURISIMO FORT ENT S. X 1.100 GS;NO;15;0;SI
1028;SERENITO MUNDIAL 117 GS VAIN;NO;20;0;SI
1314;QUESO LS CREMON VIT A-D X200GS;NO;24;0;SI
1629;QUESO LS SARDO VIT FRACC X280GS;NO;18;0;NO
1743;QUESO LS PROVOLONE FRACC X300GS;NO;16;0;NO
1460;QUESO LS PORT SAL A-D  UNT 200GS;NO;24;0;SI
1459;QUESO LS PORT SALUT LIGHT X200GS;NO;24;0;SI
1735;QUESO LS REG 7 MES VIT A-D X310GS;NO;16;0;NO
1985;QUESO LS ROMANO VIT A-D X300GS;NO;16;0;NO
5508;YOGURISIMO SACHET IMBATIBLE X 1000GS;NO;16;0;SI
9430;ALIM LACT DANONINO BEB FORT 185GS;NO;35;0;SI
9973;YOGUR SER FORTIF VIT A X 1 LT;NO;16;0;SI
9827;ALIM LAC DANONINO FOT PACK X 400GS;NO;12;0;SI
11344;MANTECA L.S LIGHT UNTABLEVIT A Y E X 200;SI;24;0;SI
9333;YOGURISIMO GO FORT BOT 180 GS;NO;35;0;SI
6234;YOGUR SER FORT DESC SACHET 1000GR;NO;17;0;SI
9332;YOGUR SER LIBRE FORT BOT  185GS;NO;35;0;SI
9820;YOGUR BEBIBLE FORT CALC B.185GS;NO;35;0;SI
11345;CREMA LS UAT VIT A-E CART 200 CM3;NO;30;0;SI
1549;CREMA DE LECHE LS UAT X200CC;NO;30;0;SI
6687;YOGURISIMO F C/CER Y COL X161GS;NO;20;0;SI
9253;ACTIVIA ENTERO PACK 250GS;NO;24;0;SI
9425;ACTICIA PACK ENT X 500 GS;NO;12;0;SI
9510;ACTIVIA FIBRABALANCE PACK X 500GS;NO;12;0;SI
9222;ACTIVIA BEBIBLE BOTELL 185 GS;NO;35;0;SI
11347;ACTIVIA SACHET X 1100 GS;NO;15;0;SI
9229;ACTIVIA SACHET X 1100 GS;NO;15;0;SI
9455;ACTIVIA SACHET X 700 GS;NO;20;0;SI
654;QUESO FINLANDIA LS AL VERDEO X 200 GS;NO;24;0;SI
1131;QUESO CREMA CASAMCREM LIGHT X500GS;NO;12;0;SI
1202;QUESO CREMA CASAMCREM ENT X300GS;NO;12;0;SI
1130;QUESO CREMA CASAMCREM ENT X500GS;NO;12;0;SI
1203;QUESO CREMA CASAMCREM LIGHT X300GS;NO;12;0;SI
1805;LA SERENISIMA 1 BABY X200ML;NO;30;0;SI
1806;LA SERENISIMA 2 BABY X200ML;NO;30;0;SI
1803;LECHE LS CRECER 1 A 3 AÑOS BRIK 250CC;NO;27;0;SI
1804;LA SERENISIMA XBABY 3 X1000ML;NO;12;0;SI
1643;RICOTA LS ENTERA  SACHET X500GS;NO;18;0;SI
9908;YOGURT ENT FORT FIRME  X250GS;NO;24;0;SI
9012;YOGURISIMO FIRME FORT 190GS;NO;20;0;SI
6512;YOGURISIMO FIRME FORT 190GS;NO;20;0;SI
9957;YOGURISIMO CREMIX FORT PACK 480GS;NO;12;0;SI
689;QUESO LS PATEGRAS FRACC 250GS;NO;20;0;NO
694;QUESO LS CHUBUT VIT A-D FRACC 250GS;NO;24;0;NO
697;QUESO LS CHUBUT LIGTH FRACC 250GS;NO;24;0;NO
685;YOGURISIMO C/CEREAL Y COLC 161GS;NO;20;0;SI
4004;MONEDA $4;NO;0;0;SI
4002;MONEDA $ 2;NO;0;0;SI
7530;DANETTE SIN CARGO;NO;0;0;SI
7158;FLAN SER SIN CARGO;NO;20;0;SI
1052;MANTECA LS EXTRA VIT A-E PAQ 100 GR;NO;20;0;SI
3846;HUEVO PAS KINDER 8 UNID STARS WARS 800G;NO;8;0;SI
9901;SER YOGUR CALCI + PACK X 240GS;NO;24;0;SI
9923;YOGUR SER TETRA BRICK  X 1L;NO;16;0;SI
9924;YOGURISIMO TETRA BRICK X 1L;NO;16;0;SI
3013;TIC TAC MANZ/MARAC 12 X 192GS;NO;24;0;SI
3602;KINDER SORPRESA BAR/WHE X 24U 38;NO;1;0;SI
1140;PROMO MUÑECO PACHORRRA;NO;1;0;SI
3074;PACK PROMO FERRERO +CJA HERRAM;NO;1;0;SI
1035;POSTRE DANETE ALFJ CHOC 120GS;NO;20;0;SI
3651;BEBIDA LACTEA LS JUNIOR ULT SAC X1L;NO;17;0;SI
12;YOGUR FIRME FORTIF. C/H X 190G;NO;20;0;SI
104;SER FIRME F POTE 195 GRS;NO;20;0;SI
135;YOGURISIMO C/CEREALES X 166GRS;NO;20;0;SI
5334;YOGURISIMO GO STAR WARS B. X 185G;NO;35;0;SI
5423;YOGURISIMO SACHET IMBATIBLE 1.300GS;NO;12;0;SI
430;DANONINO BEBIBLE /F BOT. X 200GR;NO;35;0;SI
455;ACTIVIA SACHET X 700 GS;NO;20;0;SI
644;RICOTA L.S MAGRA SACHET 500;NO;18;0;SI
820;YOGUR SER BEB CALCIO+BOT.190G;NO;35;0;SI
823;YOGURISIMO CREMIX PACK X 750 GR;NO;8;0;SI
908;YOGURISIMO FIRME AVENGERS X 500GS;NO;12;0;SI
957;YOGURISIMO CREMIX SAB P. 480 GS;NO;12;0;SI
973;SER YOGUR FORT/DESC. SACHET X 900 GS;NO;16;0;SI
9608;YOGURISIMO ENT FIRME +FORT 125GS;NO;48;0;SI
827;ALIM LAC DANONINO FOT PACK X 400GS;NO;12;0;SI
1104;SER FIME FORT. POTE 195GRS.;NO;20;0;SI
9135;YOGURISIMO C/CEREALES X 166GRS;NO;20;0;SI
9512;YOGURISIMO FIRME FORT 190GS;NO;20;0;SI
9515;YOGURISIMO FORT ENT S. X 1.100GS;NO;15;0;SI
9685;YOGURISIMO C/CEREAL Y COLC X161GS;NO;20;0;SI
9823;YOGURISIMO CREMIX PACK X 750GR;NO;8;0;SI
9657;YOGURISIMO CREMIX SABORIZADO X  120G;NO;48;0;SI
11351;MANTECA LS LIGHT UNT.P 200;NO;24;0;SI
91154;QUESO LS ROMANO 1/2 HORMA;NO;1;0;NO
657;QUESO FINLANDIA LS PANC/CEB/CAR X 200GS;NO;24;0;SI
9158;FLAN SER TENTACION PACK 190GS;NO;24;0;SI
435;YOGURISIMO PACHORRA BOT 185 GS;NO;35;0;SI
1038;POSTRE DANETTE C/ROCKL 120GS;NO;20;0;SI
9925;YOGURISIMO BIG SIZE CREMIX 960 GS;NO;8;0;SI
635;QUESO FINLANDIA LS LIGHT A/D X300GS;NO;12;0;SI
639;QUESO FINLANDIA LS PROC. A/D X300GS;NO;12;0;SI
1204;QUESO MANTECREM POTE 190GS;NO;12;0;SI
2930;LECHE NUTRILON 2 PROFUTURA X800GS;NO;12;0;SI
2950;LECHE 03 VITAL INFANTIL X200ML;NO;30;0;SI
2942;LECHE NUTRILON 1 PROFUTURA X800GS;NO;12;0;SI
991;LECHE CINDOR MID X 1 L.;NO;12;0;SI
9400;LA SERENISIMA FRESH 850 GRS;NO;18;0;SI
682;LECHE LS ULTRA DESL ENT SACHET X1L;NO;16;0;SI
53;CREMA DE LECHE LS LIGHT X200CC;NO;24;0;SI
9105;YOGUR SER DESC JOYFUL C/FRT X 125GS;NO;12;0;SI
3018;TIC TAC MANZAN VERD 12 X 192GS;NO;24;0;SI
2451;LECHE NUTRILON 4 PROFUTURA X800GS;NO;12;0;SI
1206;CASAMCREM DULCECREM 190 GS;NO;12;0;SI
3603;KINDER SORPRESA MINIONS X 24U 480GS;NO;1;0;SI
3604;KINDER SORPRESA MINIONS X 48 U 960GS;NO;1;0;SI
748;QUESO FINLANDIA LS CHAMP Y JAMON LIGHT;NO;24;0;SI
5316;DANETTE 95 GR;NO;72;0;SI
9011;YOGURISIMO CRUNCH C/CONF 170GS;NO;20;0;SI
9013;YOGURISIMO CRUNCH C /C. CHOC 170GS;NO;20;0;SI
891;MI PRIMER YOGURISIMO X120GR;NO;20;0;SI
3081;PACK PROMO FERRERO + JARRO TERMICO;NO;1;0;SI
1207;BOLSACREM 690GS;NO;6;0;SI
742;QUESO FINLANDIA LS SALAME LIGHT P.200;NO;24;0;SI
1126;ALIMENTO LS MAS X250CC;NO;24;0;SI
1125;ALIMENTO LS MAS BOT X1L;NO;8;0;SI
5525;LA SERENISIMA BABY 1 X750GS;NO;12;0;SI
2826;LA SERENISIMA BABY 2 X750GS;NO;12;0;SI
2833;LA SERENISIMA BABY 3 X750GS;NO;12;0;SI
476;QUESO LS CREMOSO LIGHT FRC X500GS;NO;24;0;NO
470;QUESO LS CREMON LIGHT H X3KG;NO;6;0;NO
2932;LA SERENISIMA BABY 4 X750GS;NO;12;0;SI
2840;CEREAL NUTRILON PROF ARROZ X 200G;NO;0;0;SI
2871;CEREAL NUTRILON ARR BAN MAN X 200GS;NO;0;0;SI
2864;LECHE 5 NUTRILON PROF CERE  X200ML;NO;6;0;SI
491;LECHE LS ULT DESC FORT VIT X1L;NO;16;0;SI
9927;YOGUR SER BIG SIZE CREMIX X 960GRS;NO;8;0;SI
